

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.217e-01	 5.275e-01	 5.431e-01	 9.032e-03
       Maxwell	 6.494e-01	 6.531e-01	 6.566e-01	 2.836e-03
    Maxwell_BC	 5.329e-01	 5.352e-01	 5.404e-01	 3.072e-03
   Diagnostics	 1.700e+00	 1.708e+00	 1.720e+00	 8.160e-03
     Densities	 1.295e-01	 1.360e-01	 1.406e-01	 4.542e-03
    Collisions	 5.094e-01	 5.212e-01	 5.342e-01	 8.854e-03
    Mov window	 1.227e-01	 1.296e-01	 1.350e-01	 4.801e-03
Sync Particles	 2.597e+00	 2.629e+00	 2.656e+00	 2.173e-02
   Sync Fields	 1.279e+00	 1.318e+00	 1.357e+00	 2.781e-02
Sync Densities	 1.294e+00	 1.355e+00	 1.421e+00	 4.842e-02
  Part Merging	 2.544e-01	 2.605e-01	 2.656e-01	 4.034e-03
Part Injection	 2.550e-01	 2.655e-01	 2.729e-01	 6.765e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.224e+00	 1.238e+00	 1.256e+00	 1.151e-02
       Maxwell	 1.523e+00	 1.531e+00	 1.546e+00	 8.910e-03
    Maxwell_BC	 1.233e+00	 1.247e+00	 1.257e+00	 8.729e-03
   Diagnostics	 3.952e+00	 3.985e+00	 4.021e+00	 2.623e-02
     Densities	 3.011e-01	 3.103e-01	 3.228e-01	 8.500e-03
    Collisions	 1.206e+00	 1.230e+00	 1.262e+00	 2.017e-02
    Mov window	 2.934e-01	 3.037e-01	 3.154e-01	 8.752e-03
Sync Particles	 6.094e+00	 6.146e+00	 6.192e+00	 3.923e-02
   Sync Fields	 2.946e+00	 3.000e+00	 3.085e+00	 5.445e-02
Sync Densities	 3.091e+00	 3.137e+00	 3.185e+00	 4.048e-02
  Part Merging	 6.035e-01	 6.093e-01	 6.202e-01	 6.446e-03
Part Injection	 6.067e-01	 6.161e-01	 6.298e-01	 8.696e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.941e+00	 1.957e+00	 1.988e+00	 1.812e-02
       Maxwell	 2.407e+00	 2.418e+00	 2.425e+00	 6.683e-03
    Maxwell_BC	 1.946e+00	 1.973e+00	 1.989e+00	 1.634e-02
   Diagnostics	 6.213e+00	 6.276e+00	 6.353e+00	 5.035e-02
     Densities	 4.813e-01	 4.923e-01	 5.045e-01	 8.228e-03
    Collisions	 1.912e+00	 1.940e+00	 1.961e+00	 1.779e-02
    Mov window	 4.590e-01	 4.780e-01	 4.941e-01	 1.267e-02
Sync Particles	 9.624e+00	 9.689e+00	 9.754e+00	 5.584e-02
   Sync Fields	 4.554e+00	 4.660e+00	 4.731e+00	 7.052e-02
Sync Densities	 4.782e+00	 4.899e+00	 5.006e+00	 8.924e-02
  Part Merging	 9.606e-01	 9.663e-01	 9.759e-01	 6.081e-03
Part Injection	 9.613e-01	 9.708e-01	 9.851e-01	 9.275e-03


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.662e+00	 2.682e+00	 2.721e+00	 2.315e-02
       Maxwell	 3.291e+00	 3.305e+00	 3.319e+00	 1.054e-02
    Maxwell_BC	 2.692e+00	 2.709e+00	 2.723e+00	 1.130e-02
   Diagnostics	 8.522e+00	 8.603e+00	 8.688e+00	 6.009e-02
     Densities	 6.596e-01	 6.709e-01	 6.918e-01	 1.239e-02
    Collisions	 2.628e+00	 2.665e+00	 2.693e+00	 2.339e-02
    Mov window	 6.415e-01	 6.558e-01	 6.715e-01	 1.065e-02
Sync Particles	 1.318e+01	 1.327e+01	 1.333e+01	 5.845e-02
   Sync Fields	 6.269e+00	 6.398e+00	 6.496e+00	 9.726e-02
Sync Densities	 6.575e+00	 6.745e+00	 6.934e+00	 1.336e-01
  Part Merging	 1.311e+00	 1.325e+00	 1.335e+00	 8.742e-03
Part Injection	 1.320e+00	 1.332e+00	 1.349e+00	 1.060e-02


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.662e+00	 2.682e+00	 2.721e+00	 2.315e-02
       Maxwell	 3.291e+00	 3.305e+00	 3.319e+00	 1.054e-02
    Maxwell_BC	 2.692e+00	 2.709e+00	 2.723e+00	 1.130e-02
   Diagnostics	 8.544e+00	 8.628e+00	 8.715e+00	 6.230e-02
     Densities	 6.614e-01	 6.728e-01	 6.939e-01	 1.246e-02
    Collisions	 2.635e+00	 2.673e+00	 2.701e+00	 2.382e-02
    Mov window	 6.432e-01	 6.575e-01	 6.732e-01	 1.063e-02
Sync Particles	 1.318e+01	 1.327e+01	 1.333e+01	 5.845e-02
   Sync Fields	 6.269e+00	 6.398e+00	 6.496e+00	 9.726e-02
Sync Densities	 6.575e+00	 6.745e+00	 6.934e+00	 1.336e-01
  Part Merging	 1.311e+00	 1.325e+00	 1.335e+00	 8.742e-03
Part Injection	 1.320e+00	 1.332e+00	 1.349e+00	 1.060e-02
