

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.068e-01	 7.101e-01	 7.147e-01	 2.861e-03
       Maxwell	 8.822e-01	 8.857e-01	 8.944e-01	 5.052e-03
    Maxwell_BC	 6.997e-01	 7.167e-01	 7.303e-01	 1.105e-02
   Diagnostics	 2.275e+00	 2.289e+00	 2.307e+00	 1.148e-02
     Densities	 1.590e-01	 1.737e-01	 1.813e-01	 8.844e-03
    Collisions	 6.925e-01	 6.986e-01	 7.096e-01	 6.497e-03
    Mov window	 1.623e-01	 1.749e-01	 1.844e-01	 8.477e-03
Sync Particles	 3.473e+00	 3.498e+00	 3.520e+00	 2.135e-02
   Sync Fields	 1.624e+00	 1.717e+00	 1.781e+00	 5.954e-02
Sync Densities	 1.793e+00	 1.823e+00	 1.866e+00	 2.672e-02
  Part Merging	 3.484e-01	 3.528e-01	 3.544e-01	 2.544e-03
Part Injection	 3.363e-01	 3.491e-01	 3.598e-01	 8.597e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.400e+00	 1.427e+00	 1.449e+00	 1.778e-02
       Maxwell	 1.757e+00	 1.776e+00	 1.786e+00	 1.138e-02
    Maxwell_BC	 1.424e+00	 1.442e+00	 1.460e+00	 1.274e-02
   Diagnostics	 4.586e+00	 4.617e+00	 4.652e+00	 2.369e-02
     Densities	 3.460e-01	 3.560e-01	 3.611e-01	 5.915e-03
    Collisions	 1.400e+00	 1.417e+00	 1.444e+00	 1.675e-02
    Mov window	 3.412e-01	 3.508e-01	 3.630e-01	 8.833e-03
Sync Particles	 6.986e+00	 7.061e+00	 7.099e+00	 4.473e-02
   Sync Fields	 3.367e+00	 3.467e+00	 3.533e+00	 6.232e-02
Sync Densities	 3.496e+00	 3.633e+00	 3.719e+00	 8.842e-02
  Part Merging	 7.065e-01	 7.159e-01	 7.257e-01	 6.868e-03
Part Injection	 6.896e-01	 7.070e-01	 7.233e-01	 1.305e-02


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.126e+00	 2.150e+00	 2.166e+00	 1.545e-02
       Maxwell	 2.649e+00	 2.673e+00	 2.691e+00	 1.531e-02
    Maxwell_BC	 2.170e+00	 2.175e+00	 2.184e+00	 5.508e-03
   Diagnostics	 6.911e+00	 6.945e+00	 6.971e+00	 2.182e-02
     Densities	 5.194e-01	 5.379e-01	 5.520e-01	 1.330e-02
    Collisions	 2.105e+00	 2.134e+00	 2.158e+00	 1.996e-02
    Mov window	 5.198e-01	 5.285e-01	 5.351e-01	 6.604e-03
Sync Particles	 1.057e+01	 1.066e+01	 1.075e+01	 7.187e-02
   Sync Fields	 5.108e+00	 5.205e+00	 5.295e+00	 6.907e-02
Sync Densities	 5.317e+00	 5.470e+00	 5.578e+00	 9.571e-02
  Part Merging	 1.060e+00	 1.073e+00	 1.089e+00	 1.111e-02
Part Injection	 1.048e+00	 1.063e+00	 1.075e+00	 1.131e-02


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.839e+00	 2.868e+00	 2.884e+00	 1.782e-02
       Maxwell	 3.542e+00	 3.558e+00	 3.586e+00	 1.668e-02
    Maxwell_BC	 2.884e+00	 2.903e+00	 2.931e+00	 1.728e-02
   Diagnostics	 9.185e+00	 9.242e+00	 9.294e+00	 3.838e-02
     Densities	 6.914e-01	 7.148e-01	 7.364e-01	 1.732e-02
    Collisions	 2.809e+00	 2.846e+00	 2.869e+00	 2.346e-02
    Mov window	 6.919e-01	 7.006e-01	 7.082e-01	 6.360e-03
Sync Particles	 1.414e+01	 1.423e+01	 1.434e+01	 7.848e-02
   Sync Fields	 6.787e+00	 6.913e+00	 7.065e+00	 1.106e-01
Sync Densities	 7.137e+00	 7.284e+00	 7.354e+00	 8.688e-02
  Part Merging	 1.423e+00	 1.433e+00	 1.444e+00	 9.517e-03
Part Injection	 1.404e+00	 1.418e+00	 1.438e+00	 1.283e-02


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.565e+00	 3.586e+00	 3.612e+00	 1.684e-02
       Maxwell	 4.417e+00	 4.440e+00	 4.470e+00	 1.929e-02
    Maxwell_BC	 3.608e+00	 3.625e+00	 3.649e+00	 1.527e-02
   Diagnostics	 1.151e+01	 1.155e+01	 1.163e+01	 4.766e-02
     Densities	 8.692e-01	 8.936e-01	 9.234e-01	 1.968e-02
    Collisions	 3.524e+00	 3.561e+00	 3.588e+00	 2.703e-02
    Mov window	 8.674e-01	 8.772e-01	 8.870e-01	 7.325e-03
Sync Particles	 1.774e+01	 1.781e+01	 1.787e+01	 6.087e-02
   Sync Fields	 8.400e+00	 8.552e+00	 8.686e+00	 1.059e-01
Sync Densities	 8.823e+00	 9.026e+00	 9.147e+00	 1.237e-01
  Part Merging	 1.768e+00	 1.788e+00	 1.804e+00	 1.332e-02
Part Injection	 1.743e+00	 1.771e+00	 1.793e+00	 1.862e-02


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.287e+00	 4.308e+00	 4.347e+00	 2.347e-02
       Maxwell	 5.307e+00	 5.341e+00	 5.373e+00	 2.373e-02
    Maxwell_BC	 4.334e+00	 4.356e+00	 4.387e+00	 2.196e-02
   Diagnostics	 1.385e+01	 1.388e+01	 1.391e+01	 2.176e-02
     Densities	 1.046e+00	 1.074e+00	 1.118e+00	 2.661e-02
    Collisions	 4.231e+00	 4.272e+00	 4.301e+00	 2.657e-02
    Mov window	 1.039e+00	 1.054e+00	 1.065e+00	 9.475e-03
Sync Particles	 2.132e+01	 2.139e+01	 2.144e+01	 4.428e-02
   Sync Fields	 1.008e+01	 1.022e+01	 1.030e+01	 8.609e-02
Sync Densities	 1.065e+01	 1.077e+01	 1.088e+01	 8.501e-02
  Part Merging	 2.124e+00	 2.140e+00	 2.155e+00	 1.279e-02
