

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.182e-02	 5.349e-02	 5.518e-02	 1.215e-03
       Maxwell	 6.235e-02	 6.343e-02	 6.549e-02	 1.213e-03
    Maxwell_BC	 4.764e-02	 5.214e-02	 5.614e-02	 3.727e-03
   Diagnostics	 1.584e-01	 1.682e-01	 1.719e-01	 5.660e-03
     Densities	 9.304e-03	 1.200e-02	 1.301e-02	 1.562e-03
    Collisions	 5.142e-02	 5.290e-02	 5.378e-02	 8.912e-04
    Mov window	 1.164e-02	 1.267e-02	 1.379e-02	 7.631e-04
Sync Particles	 2.513e-01	 2.598e-01	 2.675e-01	 6.157e-03
   Sync Fields	 1.186e-01	 1.238e-01	 1.351e-01	 6.635e-03
Sync Densities	 1.125e-01	 1.265e-01	 1.318e-01	 8.091e-03
  Part Merging	 2.372e-02	 2.439e-02	 2.584e-02	 8.488e-04
Part Injection	 2.554e-02	 2.702e-02	 2.900e-02	 1.342e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.670e-01	 7.731e-01	 7.766e-01	 3.658e-03
       Maxwell	 9.382e-01	 9.490e-01	 9.589e-01	 7.368e-03
    Maxwell_BC	 7.581e-01	 7.717e-01	 7.959e-01	 1.441e-02
   Diagnostics	 2.429e+00	 2.474e+00	 2.529e+00	 3.656e-02
     Densities	 1.855e-01	 1.925e-01	 1.985e-01	 6.033e-03
    Collisions	 7.389e-01	 7.650e-01	 7.860e-01	 1.803e-02
    Mov window	 1.895e-01	 1.950e-01	 2.021e-01	 4.677e-03
Sync Particles	 3.784e+00	 3.817e+00	 3.866e+00	 3.437e-02
   Sync Fields	 1.630e+00	 1.730e+00	 1.813e+00	 6.554e-02
Sync Densities	 1.705e+00	 1.823e+00	 1.901e+00	 8.072e-02
  Part Merging	 3.673e-01	 3.781e-01	 3.927e-01	 1.023e-02
Part Injection	 3.789e-01	 3.840e-01	 3.867e-01	 3.032e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.488e+00	 1.500e+00	 1.513e+00	 9.070e-03
       Maxwell	 1.823e+00	 1.845e+00	 1.860e+00	 1.420e-02
    Maxwell_BC	 1.487e+00	 1.504e+00	 1.528e+00	 1.528e-02
   Diagnostics	 4.756e+00	 4.793e+00	 4.855e+00	 3.780e-02
     Densities	 3.629e-01	 3.723e-01	 3.808e-01	 6.439e-03
    Collisions	 1.448e+00	 1.481e+00	 1.520e+00	 2.657e-02
    Mov window	 3.579e-01	 3.703e-01	 3.822e-01	 9.085e-03
Sync Particles	 7.369e+00	 7.406e+00	 7.436e+00	 2.570e-02
   Sync Fields	 3.350e+00	 3.422e+00	 3.494e+00	 5.739e-02
Sync Densities	 3.515e+00	 3.645e+00	 3.785e+00	 1.217e-01
  Part Merging	 7.146e-01	 7.325e-01	 7.486e-01	 1.356e-02
Part Injection	 7.395e-01	 7.445e-01	 7.473e-01	 3.025e-03


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.205e+00	 2.218e+00	 2.238e+00	 1.410e-02
       Maxwell	 2.708e+00	 2.736e+00	 2.747e+00	 1.585e-02
    Maxwell_BC	 2.204e+00	 2.226e+00	 2.255e+00	 1.907e-02
   Diagnostics	 7.087e+00	 7.118e+00	 7.158e+00	 2.670e-02
     Densities	 5.390e-01	 5.477e-01	 5.601e-01	 7.675e-03
    Collisions	 2.160e+00	 2.194e+00	 2.235e+00	 2.674e-02
    Mov window	 5.312e-01	 5.422e-01	 5.519e-01	 7.691e-03
Sync Particles	 1.092e+01	 1.098e+01	 1.101e+01	 3.575e-02
   Sync Fields	 5.067e+00	 5.127e+00	 5.200e+00	 5.120e-02
Sync Densities	 5.276e+00	 5.405e+00	 5.568e+00	 1.182e-01
  Part Merging	 1.070e+00	 1.089e+00	 1.108e+00	 1.460e-02
Part Injection	 1.100e+00	 1.107e+00	 1.118e+00	 6.641e-03


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.205e+00	 2.218e+00	 2.238e+00	 1.410e-02
       Maxwell	 2.708e+00	 2.736e+00	 2.747e+00	 1.585e-02
    Maxwell_BC	 2.204e+00	 2.226e+00	 2.255e+00	 1.907e-02
   Diagnostics	 7.112e+00	 7.148e+00	 7.188e+00	 2.747e-02
     Densities	 5.412e-01	 5.508e-01	 5.629e-01	 7.810e-03
    Collisions	 2.172e+00	 2.204e+00	 2.244e+00	 2.576e-02
    Mov window	 5.337e-01	 5.444e-01	 5.545e-01	 7.721e-03
Sync Particles	 1.092e+01	 1.098e+01	 1.101e+01	 3.575e-02
   Sync Fields	 5.067e+00	 5.127e+00	 5.200e+00	 5.120e-02
Sync Densities	 5.276e+00	 5.405e+00	 5.568e+00	 1.182e-01
  Part Merging	 1.070e+00	 1.089e+00	 1.108e+00	 1.460e-02
Part Injection	 1.100e+00	 1.107e+00	 1.118e+00	 6.641e-03
