

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.129e-01	 7.169e-01	 7.244e-01	 4.414e-03
       Maxwell	 8.810e-01	 8.890e-01	 9.003e-01	 7.675e-03
    Maxwell_BC	 7.126e-01	 7.260e-01	 7.436e-01	 1.151e-02
   Diagnostics	 2.292e+00	 2.309e+00	 2.316e+00	 1.005e-02
     Densities	 1.614e-01	 1.805e-01	 1.914e-01	 1.189e-02
    Collisions	 7.058e-01	 7.119e-01	 7.170e-01	 4.511e-03
    Mov window	 1.759e-01	 1.795e-01	 1.828e-01	 2.442e-03
Sync Particles	 3.492e+00	 3.529e+00	 3.569e+00	 2.751e-02
   Sync Fields	 1.533e+00	 1.600e+00	 1.647e+00	 4.779e-02
Sync Densities	 1.657e+00	 1.685e+00	 1.744e+00	 3.474e-02
  Part Merging	 3.515e-01	 3.584e-01	 3.640e-01	 4.833e-03
Part Injection	 3.589e-01	 3.642e-01	 3.688e-01	 3.653e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.427e+00	 1.430e+00	 1.434e+00	 2.441e-03
       Maxwell	 1.761e+00	 1.776e+00	 1.786e+00	 9.293e-03
    Maxwell_BC	 1.416e+00	 1.444e+00	 1.480e+00	 2.611e-02
   Diagnostics	 4.588e+00	 4.616e+00	 4.630e+00	 1.642e-02
     Densities	 3.389e-01	 3.589e-01	 3.719e-01	 1.275e-02
    Collisions	 1.411e+00	 1.423e+00	 1.435e+00	 9.703e-03
    Mov window	 3.559e-01	 3.571e-01	 3.585e-01	 1.068e-03
Sync Particles	 7.042e+00	 7.096e+00	 7.168e+00	 4.705e-02
   Sync Fields	 3.083e+00	 3.240e+00	 3.324e+00	 9.777e-02
Sync Densities	 3.378e+00	 3.409e+00	 3.448e+00	 3.093e-02
  Part Merging	 7.099e-01	 7.152e-01	 7.201e-01	 4.834e-03
Part Injection	 7.167e-01	 7.226e-01	 7.284e-01	 4.155e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.144e+00	 2.147e+00	 2.149e+00	 2.012e-03
       Maxwell	 2.662e+00	 2.671e+00	 2.679e+00	 6.862e-03
    Maxwell_BC	 2.153e+00	 2.177e+00	 2.190e+00	 1.434e-02
   Diagnostics	 6.874e+00	 6.914e+00	 6.946e+00	 2.616e-02
     Densities	 5.186e-01	 5.341e-01	 5.518e-01	 1.231e-02
    Collisions	 2.129e+00	 2.140e+00	 2.158e+00	 1.089e-02
    Mov window	 5.235e-01	 5.334e-01	 5.437e-01	 7.347e-03
Sync Particles	 1.061e+01	 1.064e+01	 1.073e+01	 4.890e-02
   Sync Fields	 4.855e+00	 4.960e+00	 5.065e+00	 8.013e-02
Sync Densities	 5.111e+00	 5.181e+00	 5.230e+00	 4.601e-02
  Part Merging	 1.060e+00	 1.075e+00	 1.086e+00	 9.407e-03
Part Injection	 1.071e+00	 1.084e+00	 1.092e+00	 8.049e-03


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.853e+00	 2.862e+00	 2.868e+00	 5.760e-03
       Maxwell	 3.559e+00	 3.567e+00	 3.573e+00	 5.275e-03
