

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.112e-01	 7.167e-01	 7.190e-01	 3.190e-03
       Maxwell	 8.756e-01	 8.884e-01	 9.091e-01	 1.266e-02
    Maxwell_BC	 7.010e-01	 7.208e-01	 7.366e-01	 1.307e-02
   Diagnostics	 2.269e+00	 2.308e+00	 2.326e+00	 2.275e-02
     Densities	 1.730e-01	 1.812e-01	 1.943e-01	 8.462e-03
    Collisions	 6.963e-01	 7.049e-01	 7.219e-01	 1.043e-02
    Mov window	 1.720e-01	 1.794e-01	 1.871e-01	 6.832e-03
Sync Particles	 3.485e+00	 3.539e+00	 3.585e+00	 4.089e-02
   Sync Fields	 1.571e+00	 1.655e+00	 1.695e+00	 4.920e-02
Sync Densities	 1.737e+00	 1.778e+00	 1.842e+00	 4.175e-02
  Part Merging	 3.445e-01	 3.561e-01	 3.730e-01	 1.060e-02
Part Injection	 3.563e-01	 3.640e-01	 3.726e-01	 5.960e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.432e+00	 1.443e+00	 1.457e+00	 9.013e-03
       Maxwell	 1.759e+00	 1.779e+00	 1.801e+00	 1.496e-02
    Maxwell_BC	 1.431e+00	 1.438e+00	 1.446e+00	 7.034e-03
   Diagnostics	 4.600e+00	 4.627e+00	 4.652e+00	 2.156e-02
     Densities	 3.414e-01	 3.587e-01	 3.729e-01	 1.181e-02
    Collisions	 1.419e+00	 1.429e+00	 1.442e+00	 9.233e-03
    Mov window	 3.513e-01	 3.576e-01	 3.652e-01	 5.057e-03
Sync Particles	 7.069e+00	 7.110e+00	 7.145e+00	 3.393e-02
   Sync Fields	 3.255e+00	 3.318e+00	 3.376e+00	 5.020e-02
Sync Densities	 3.471e+00	 3.518e+00	 3.608e+00	 5.595e-02
  Part Merging	 6.988e-01	 7.113e-01	 7.300e-01	 1.151e-02
Part Injection	 7.171e-01	 7.233e-01	 7.281e-01	 4.537e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.154e+00	 2.162e+00	 2.173e+00	 7.105e-03
       Maxwell	 2.644e+00	 2.659e+00	 2.672e+00	 1.196e-02
    Maxwell_BC	 2.142e+00	 2.173e+00	 2.198e+00	 2.000e-02
   Diagnostics	 6.921e+00	 6.937e+00	 6.964e+00	 1.625e-02
     Densities	 5.312e-01	 5.423e-01	 5.578e-01	 9.995e-03
    Collisions	 2.127e+00	 2.144e+00	 2.157e+00	 1.043e-02
    Mov window	 5.216e-01	 5.317e-01	 5.401e-01	 7.719e-03
Sync Particles	 1.064e+01	 1.067e+01	 1.070e+01	 2.006e-02
   Sync Fields	 4.837e+00	 4.952e+00	 5.032e+00	 7.470e-02
Sync Densities	 5.143e+00	 5.214e+00	 5.268e+00	 4.664e-02
  Part Merging	 1.047e+00	 1.062e+00	 1.074e+00	 9.773e-03
