##################################################################
# Time: Sat Jun  6 18:34:08 2026
# System: Linux (6.8.0-111-generic), aarch64
# Version: #111-Ubuntu SMP PREEMPT_DYNAMIC Sat Apr 11 22:59:23 UTC 2026
# Total memory on nodes: min=54.81GB, max=54.81GB
##################################################################

MemInit  : Max = 4.274891, Min = 4.274891, Average = 4.274891 
Step    1: Max = 4.251099, Min = 4.251099, Average = 4.251099 
Step    2: Max = 4.251099, Min = 4.251099, Average = 4.251099 
Step    3: Max = 4.250870, Min = 4.250870, Average = 4.250870 
Step    4: Max = 4.271950, Min = 4.271950, Average = 4.271950 
Step    5: Max = 4.260895, Min = 4.260895, Average = 4.260895 
Step    6: Max = 4.264740, Min = 4.264740, Average = 4.264740 
Step    7: Max = 4.254646, Min = 4.254646, Average = 4.254646 
Step    8: Max = 4.254646, Min = 4.254646, Average = 4.254646 
Step    9: Max = 4.266800, Min = 4.266800, Average = 4.266800 
Step   10: Max = 4.266800, Min = 4.266800, Average = 4.266800 
Step   11: Max = 4.096943, Min = 4.096943, Average = 4.096943 
Step   12: Max = 4.096703, Min = 4.096703, Average = 4.096703 
Step   13: Max = 4.096462, Min = 4.096462, Average = 4.096462 
Step   14: Max = 4.096462, Min = 4.096462, Average = 4.096462 
Step   15: Max = 4.080360, Min = 4.080360, Average = 4.080360 
Step   16: Max = 4.080360, Min = 4.080360, Average = 4.080360 
Step   17: Max = 4.080360, Min = 4.080360, Average = 4.080360 
Step   18: Max = 4.079639, Min = 4.079639, Average = 4.079639 
Step   19: Max = 4.079639, Min = 4.079639, Average = 4.079639 
Step   20: Max = 4.079639, Min = 4.079639, Average = 4.079639 
Step   21: Max = 3.909969, Min = 3.909969, Average = 3.909969 
Step   22: Max = 3.909969, Min = 3.909969, Average = 3.909969 
Step   23: Max = 3.909969, Min = 3.909969, Average = 3.909969 
Step   24: Max = 3.902279, Min = 3.902279, Average = 3.902279 
Step   25: Max = 3.902279, Min = 3.902279, Average = 3.902279 
Step   26: Max = 3.902279, Min = 3.902279, Average = 3.902279 
Step   27: Max = 3.906364, Min = 3.906364, Average = 3.906364 
Step   28: Max = 3.898674, Min = 3.898674, Average = 3.898674 
Step   29: Max = 3.894829, Min = 3.894829, Average = 3.894829 
Step   30: Max = 3.879448, Min = 3.879448, Average = 3.879448 
Step   31: Max = 3.759045, Min = 3.759045, Average = 3.759045 
Step   32: Max = 3.759045, Min = 3.759045, Average = 3.759045 
Step   33: Max = 3.744144, Min = 3.744144, Average = 3.744144 
Step   34: Max = 3.740299, Min = 3.740299, Average = 3.740299 
Step   35: Max = 3.736454, Min = 3.736454, Average = 3.736454 
Step   36: Max = 3.728764, Min = 3.728764, Average = 3.728764 
Step   37: Max = 3.719254, Min = 3.719254, Average = 3.719254 
Step   38: Max = 3.724888, Min = 3.724888, Average = 3.724888 
Step   39: Max = 3.717197, Min = 3.717197, Average = 3.717197 
Step   40: Max = 3.719574, Min = 3.719574, Average = 3.719574 
Step   41: Max = 3.552570, Min = 3.552570, Average = 3.552570 
Step   42: Max = 3.552570, Min = 3.552570, Average = 3.552570 
Step   43: Max = 3.535988, Min = 3.535988, Average = 3.535988 
Step   44: Max = 3.534065, Min = 3.534065, Average = 3.534065 
Step   45: Max = 3.514839, Min = 3.514839, Average = 3.514839 
Step   46: Max = 3.507149, Min = 3.507149, Average = 3.507149 
Step   47: Max = 3.490803, Min = 3.490803, Average = 3.490803 
Step   48: Max = 3.485775, Min = 3.485775, Average = 3.485775 
Step   49: Max = 3.482204, Min = 3.482204, Average = 3.482204 
Step   50: Max = 3.489323, Min = 3.489323, Average = 3.489323 
Step   51: Max = 3.431885, Min = 3.431885, Average = 3.431885 
Step   52: Max = 3.445152, Min = 3.445152, Average = 3.445152 
Step   53: Max = 3.445393, Min = 3.445393, Average = 3.445393 
Step   54: Max = 3.451633, Min = 3.451633, Average = 3.451633 
Step   55: Max = 3.456512, Min = 3.456512, Average = 3.456512 
Step   56: Max = 3.457813, Min = 3.457813, Average = 3.457813 
Step   57: Max = 3.476852, Min = 3.476852, Average = 3.476852 
Step   58: Max = 3.485081, Min = 3.485081, Average = 3.485081 
Step   59: Max = 3.486523, Min = 3.486523, Average = 3.486523 
Step   60: Max = 3.490364, Min = 3.490364, Average = 3.490364 
Step   61: Max = 3.487442, Min = 3.487442, Average = 3.487442 
Step   62: Max = 3.489071, Min = 3.489071, Average = 3.489071 
Step   63: Max = 3.494118, Min = 3.494118, Average = 3.494118 
Step   64: Max = 3.496445, Min = 3.496445, Average = 3.496445 
Step   65: Max = 3.498478, Min = 3.498478, Average = 3.498478 
Step   66: Max = 3.498478, Min = 3.498478, Average = 3.498478 
Step   67: Max = 3.501156, Min = 3.501156, Average = 3.501156 
Step   68: Max = 3.508732, Min = 3.508732, Average = 3.508732 
Step   69: Max = 3.508732, Min = 3.508732, Average = 3.508732 
Step   70: Max = 3.515472, Min = 3.515472, Average = 3.515472 
Step   71: Max = 3.491783, Min = 3.491783, Average = 3.491783 
Step   72: Max = 3.495312, Min = 3.495312, Average = 3.495312 
Step   73: Max = 3.497402, Min = 3.497402, Average = 3.497402 
Step   74: Max = 3.497448, Min = 3.497448, Average = 3.497448 
Step   75: Max = 3.504185, Min = 3.504185, Average = 3.504185 
Step   76: Max = 3.516785, Min = 3.516785, Average = 3.516785 
Step   77: Max = 3.516544, Min = 3.516544, Average = 3.516544 
Step   78: Max = 3.523312, Min = 3.523312, Average = 3.523312 
Step   79: Max = 3.527969, Min = 3.527969, Average = 3.527969 
Step   80: Max = 3.529133, Min = 3.529133, Average = 3.529133 
Step   81: Max = 3.492592, Min = 3.492592, Average = 3.492592 
Step   82: Max = 3.492867, Min = 3.492867, Average = 3.492867 
Step   83: Max = 3.489983, Min = 3.489983, Average = 3.489983 
Step   84: Max = 3.496788, Min = 3.496788, Average = 3.496788 
Step   85: Max = 3.496307, Min = 3.496307, Average = 3.496307 
Step   86: Max = 3.500267, Min = 3.500267, Average = 3.500267 
Step   87: Max = 3.500267, Min = 3.500267, Average = 3.500267 
Step   88: Max = 3.520473, Min = 3.520473, Average = 3.520473 
Step   89: Max = 3.520218, Min = 3.520218, Average = 3.520218 
Step   90: Max = 3.521183, Min = 3.521183, Average = 3.521183 
Step   91: Max = 3.463074, Min = 3.463074, Average = 3.463074 
Step   92: Max = 3.468075, Min = 3.468075, Average = 3.468075 
Step   93: Max = 3.468288, Min = 3.468288, Average = 3.468288 
Step   94: Max = 3.468399, Min = 3.468399, Average = 3.468399 
Step   95: Max = 3.473209, Min = 3.473209, Average = 3.473209 
Step   96: Max = 3.474552, Min = 3.474552, Average = 3.474552 
Step   97: Max = 3.476250, Min = 3.476250, Average = 3.476250 
Step   98: Max = 3.476250, Min = 3.476250, Average = 3.476250 
Step   99: Max = 3.481377, Min = 3.481377, Average = 3.481377 
Step  100: Max = 3.481377, Min = 3.481377, Average = 3.481377 
Step  101: Max = 3.465172, Min = 3.465172, Average = 3.465172 
Step  102: Max = 3.465172, Min = 3.465172, Average = 3.465172 
Step  103: Max = 3.465172, Min = 3.465172, Average = 3.465172 
Step  104: Max = 3.469898, Min = 3.469898, Average = 3.469898 
Step  105: Max = 3.469898, Min = 3.469898, Average = 3.469898 
Step  106: Max = 3.469898, Min = 3.469898, Average = 3.469898 
Step  107: Max = 3.469898, Min = 3.469898, Average = 3.469898 
Step  108: Max = 3.469898, Min = 3.469898, Average = 3.469898 
Step  109: Max = 3.469898, Min = 3.469898, Average = 3.469898 
Step  110: Max = 3.469898, Min = 3.469898, Average = 3.469898 
Step  111: Max = 3.485199, Min = 3.485199, Average = 3.485199 
Step  112: Max = 3.485199, Min = 3.485199, Average = 3.485199 
Step  113: Max = 3.485199, Min = 3.485199, Average = 3.485199 
Step  114: Max = 3.485199, Min = 3.485199, Average = 3.485199 
Step  115: Max = 3.485199, Min = 3.485199, Average = 3.485199 
Step  116: Max = 3.485199, Min = 3.485199, Average = 3.485199 
Step  117: Max = 3.485199, Min = 3.485199, Average = 3.485199 
Step  118: Max = 3.485199, Min = 3.485199, Average = 3.485199 
Step  119: Max = 3.485199, Min = 3.485199, Average = 3.485199 
Step  120: Max = 3.485199, Min = 3.485199, Average = 3.485199 
Step  121: Max = 3.493034, Min = 3.493034, Average = 3.493034 
Step  122: Max = 3.496880, Min = 3.496880, Average = 3.496880 
Step  123: Max = 3.496880, Min = 3.496880, Average = 3.496880 
Step  124: Max = 3.496880, Min = 3.496880, Average = 3.496880 
Step  125: Max = 3.496880, Min = 3.496880, Average = 3.496880 
Step  126: Max = 3.496880, Min = 3.496880, Average = 3.496880 
Step  127: Max = 3.496880, Min = 3.496880, Average = 3.496880 
Step  128: Max = 3.496880, Min = 3.496880, Average = 3.496880 
Step  129: Max = 3.496880, Min = 3.496880, Average = 3.496880 
Step  130: Max = 3.496880, Min = 3.496880, Average = 3.496880 
Step  131: Max = 3.503063, Min = 3.503063, Average = 3.503063 
Step  132: Max = 3.503063, Min = 3.503063, Average = 3.503063 
Step  133: Max = 3.503063, Min = 3.503063, Average = 3.503063 
Step  134: Max = 3.503063, Min = 3.503063, Average = 3.503063 
Step  135: Max = 3.503063, Min = 3.503063, Average = 3.503063 
Step  136: Max = 3.503063, Min = 3.503063, Average = 3.503063 
Step  137: Max = 3.503063, Min = 3.503063, Average = 3.503063 
Step  138: Max = 3.503063, Min = 3.503063, Average = 3.503063 
Step  139: Max = 3.503063, Min = 3.503063, Average = 3.503063 
Step  140: Max = 3.503063, Min = 3.503063, Average = 3.503063 
Step  141: Max = 3.536503, Min = 3.536503, Average = 3.536503 
Step  142: Max = 3.536503, Min = 3.536503, Average = 3.536503 
Step  143: Max = 3.536503, Min = 3.536503, Average = 3.536503 
Step  144: Max = 3.536503, Min = 3.536503, Average = 3.536503 
Step  145: Max = 3.536503, Min = 3.536503, Average = 3.536503 
Step  146: Max = 3.536503, Min = 3.536503, Average = 3.536503 
Step  147: Max = 3.536503, Min = 3.536503, Average = 3.536503 
Step  148: Max = 3.536503, Min = 3.536503, Average = 3.536503 
Step  149: Max = 3.536503, Min = 3.536503, Average = 3.536503 
Step  150: Max = 3.536503, Min = 3.536503, Average = 3.536503 
Step  151: Max = 3.608040, Min = 3.608040, Average = 3.608040 
Step  152: Max = 3.608040, Min = 3.608040, Average = 3.608040 
Step  153: Max = 3.608040, Min = 3.608040, Average = 3.608040 
Step  154: Max = 3.608040, Min = 3.608040, Average = 3.608040 
Step  155: Max = 3.608040, Min = 3.608040, Average = 3.608040 
Step  156: Max = 3.608040, Min = 3.608040, Average = 3.608040 
Step  157: Max = 3.608040, Min = 3.608040, Average = 3.608040 
Step  158: Max = 3.608040, Min = 3.608040, Average = 3.608040 
Step  159: Max = 3.608040, Min = 3.608040, Average = 3.608040 
Step  160: Max = 3.608040, Min = 3.608040, Average = 3.608040 
Step  161: Max = 3.637360, Min = 3.637360, Average = 3.637360 
Step  162: Max = 3.637360, Min = 3.637360, Average = 3.637360 
Step  163: Max = 3.637360, Min = 3.637360, Average = 3.637360 
Step  164: Max = 3.637360, Min = 3.637360, Average = 3.637360 
Step  165: Max = 3.637360, Min = 3.637360, Average = 3.637360 
Step  166: Max = 3.637360, Min = 3.637360, Average = 3.637360 
Step  167: Max = 3.637360, Min = 3.637360, Average = 3.637360 
Step  168: Max = 3.637360, Min = 3.637360, Average = 3.637360 
Step  169: Max = 3.637360, Min = 3.637360, Average = 3.637360 
Step  170: Max = 3.637360, Min = 3.637360, Average = 3.637360 
Step  171: Max = 3.675514, Min = 3.675514, Average = 3.675514 
Step  172: Max = 3.675514, Min = 3.675514, Average = 3.675514 
Step  173: Max = 3.675514, Min = 3.675514, Average = 3.675514 
Step  174: Max = 3.675514, Min = 3.675514, Average = 3.675514 
Step  175: Max = 3.675514, Min = 3.675514, Average = 3.675514 
Step  176: Max = 3.675514, Min = 3.675514, Average = 3.675514 
Step  177: Max = 3.675514, Min = 3.675514, Average = 3.675514 
Step  178: Max = 3.675514, Min = 3.675514, Average = 3.675514 
Step  179: Max = 3.675514, Min = 3.675514, Average = 3.675514 
Step  180: Max = 3.675514, Min = 3.675514, Average = 3.675514 
Step  181: Max = 3.674862, Min = 3.674862, Average = 3.674862 
Step  182: Max = 3.674961, Min = 3.674961, Average = 3.674961 
Step  183: Max = 3.674961, Min = 3.674961, Average = 3.674961 
Step  184: Max = 3.674961, Min = 3.674961, Average = 3.674961 
Step  185: Max = 3.674961, Min = 3.674961, Average = 3.674961 
Step  186: Max = 3.674961, Min = 3.674961, Average = 3.674961 
Step  187: Max = 3.674961, Min = 3.674961, Average = 3.674961 
Step  188: Max = 3.674961, Min = 3.674961, Average = 3.674961 
