VeloC: found checkpoint version 85, attempting restore
VeloC: loaded INTERMEDIATE ckpt v85 (lps=4000 events=3917), will resume tw_run
VeloC restore: drained 0 stale events from pe->pq
VeloC restore: re-injected 3917 events into pe->pq (skipped non-local=0, total=3917)
VeloC: intermediate ckpt v86 written (lps=4000 events=3925)
VeloC: intermediate ckpt v87 written (lps=4000 events=3862)
VeloC: intermediate ckpt v88 written (lps=4000 events=3905)
VeloC: intermediate ckpt v89 written (lps=4000 events=4037)
VeloC: intermediate ckpt v90 written (lps=4000 events=3918)
VeloC: intermediate ckpt v91 written (lps=4000 events=3986)
VeloC: intermediate ckpt v92 written (lps=4000 events=3858)
VeloC: intermediate ckpt v93 written (lps=4000 events=3999)
VeloC: intermediate ckpt v94 written (lps=4000 events=3920)
VeloC: intermediate ckpt v95 written (lps=4000 events=4030)
VeloC: intermediate ckpt v96 written (lps=4000 events=4069)
VeloC: intermediate ckpt v97 written (lps=4000 events=4085)
VeloC: intermediate ckpt v98 written (lps=4000 events=3897)
VeloC: intermediate ckpt v99 written (lps=4000 events=3984)
VeloC: intermediate ckpt v100 written (lps=4000 events=4083)
VeloC: intermediate ckpt v101 written (lps=4000 events=3802)
VeloC: intermediate ckpt v102 written (lps=4000 events=4066)
VeloC: intermediate ckpt v103 written (lps=4000 events=4167)
VeloC: intermediate ckpt v104 written (lps=4000 events=4143)
VeloC: intermediate ckpt v105 written (lps=4000 events=4039)
VeloC: intermediate ckpt v106 written (lps=4000 events=3960)
VeloC: intermediate ckpt v107 written (lps=4000 events=4038)
VeloC: intermediate ckpt v108 written (lps=4000 events=4098)
VeloC: intermediate ckpt v109 written (lps=4000 events=3898)
VeloC: intermediate ckpt v110 written (lps=4000 events=4008)
VeloC: intermediate ckpt v111 written (lps=4000 events=4000)
VeloC: intermediate ckpt v112 written (lps=4000 events=4105)
VeloC: intermediate ckpt v113 written (lps=4000 events=3901)
VeloC: intermediate ckpt v114 written (lps=4000 events=3956)
VeloC: intermediate ckpt v115 written (lps=4000 events=3807)
VeloC: intermediate ckpt v116 written (lps=4000 events=4062)
VeloC: intermediate ckpt v117 written (lps=4000 events=4232)
VeloC: intermediate ckpt v118 written (lps=4000 events=4224)
VeloC: intermediate ckpt v119 written (lps=4000 events=4177)
VeloC: intermediate ckpt v120 written (lps=4000 events=4092)
VeloC: intermediate ckpt v121 written (lps=4000 events=4008)
VeloC: intermediate ckpt v122 written (lps=4000 events=4061)
VeloC: intermediate ckpt v123 written (lps=4000 events=4133)
VeloC: intermediate ckpt v124 written (lps=4000 events=3890)
VeloC: intermediate ckpt v125 written (lps=4000 events=3989)
VeloC: intermediate ckpt v126 written (lps=4000 events=3868)
VeloC: intermediate ckpt v127 written (lps=4000 events=4003)
VeloC: intermediate ckpt v128 written (lps=4000 events=3974)
VeloC: intermediate ckpt v129 written (lps=4000 events=3936)
VeloC: intermediate ckpt v130 written (lps=4000 events=3926)
VeloC: intermediate ckpt v131 written (lps=4000 events=3868)
VeloC: intermediate ckpt v132 written (lps=4000 events=4161)
VeloC: intermediate ckpt v133 written (lps=4000 events=4048)
VeloC: intermediate ckpt v134 written (lps=4000 events=4155)
VeloC: intermediate ckpt v135 written (lps=4000 events=3991)
VeloC: intermediate ckpt v136 written (lps=4000 events=3896)
VeloC: intermediate ckpt v137 written (lps=4000 events=3963)
VeloC: intermediate ckpt v138 written (lps=4000 events=4049)
VeloC: intermediate ckpt v139 written (lps=4000 events=4054)
VeloC: intermediate ckpt v140 written (lps=4000 events=4184)
VeloC: intermediate ckpt v141 written (lps=4000 events=4086)
VeloC: intermediate ckpt v142 written (lps=4000 events=4115)
VeloC: intermediate ckpt v143 written (lps=4000 events=4018)
VeloC: intermediate ckpt v144 written (lps=4000 events=4063)
VeloC: intermediate ckpt v145 written (lps=4000 events=3999)
VeloC: intermediate ckpt v146 written (lps=4000 events=3925)
VeloC: intermediate ckpt v147 written (lps=4000 events=4070)
VeloC: intermediate ckpt v148 written (lps=4000 events=4016)
VeloC: intermediate ckpt v149 written (lps=4000 events=4004)
VeloC: final ckpt v1000150 written
