

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.699e-01	 2.780e-01	 2.842e-01	 5.845e-03
       Maxwell	 3.362e-01	 3.428e-01	 3.518e-01	 5.683e-03
    Maxwell_BC	 2.775e-01	 2.832e-01	 2.903e-01	 5.172e-03
   Diagnostics	 8.941e-01	 9.040e-01	 9.149e-01	 7.432e-03
     Densities	 6.078e-02	 6.917e-02	 7.863e-02	 6.760e-03
    Collisions	 2.642e-01	 2.720e-01	 2.765e-01	 4.628e-03
    Mov window	 6.875e-02	 6.995e-02	 7.095e-02	 7.873e-04
Sync Particles	 1.368e+00	 1.387e+00	 1.400e+00	 1.326e-02
   Sync Fields	 6.587e-01	 6.804e-01	 6.946e-01	 1.331e-02
Sync Densities	 6.547e-01	 6.900e-01	 7.300e-01	 3.055e-02
  Part Merging	 1.386e-01	 1.455e-01	 1.538e-01	 5.991e-03
Part Injection	 1.329e-01	 1.347e-01	 1.376e-01	 1.879e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 9.736e-01	 9.905e-01	 1.003e+00	 1.074e-02
       Maxwell	 1.210e+00	 1.223e+00	 1.229e+00	 7.703e-03
    Maxwell_BC	 9.986e-01	 1.014e+00	 1.025e+00	 9.876e-03
   Diagnostics	 3.154e+00	 3.199e+00	 3.224e+00	 2.803e-02
     Densities	 2.417e-01	 2.489e-01	 2.575e-01	 6.417e-03
    Collisions	 9.705e-01	 9.797e-01	 9.883e-01	 7.967e-03
    Mov window	 2.439e-01	 2.503e-01	 2.552e-01	 4.508e-03
Sync Particles	 4.902e+00	 4.942e+00	 4.989e+00	 3.154e-02
   Sync Fields	 2.324e+00	 2.370e+00	 2.420e+00	 3.583e-02
Sync Densities	 2.368e+00	 2.455e+00	 2.534e+00	 5.969e-02
  Part Merging	 4.833e-01	 5.040e-01	 5.154e-01	 1.294e-02
Part Injection	 4.833e-01	 4.937e-01	 5.038e-01	 7.260e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.693e+00	 1.719e+00	 1.743e+00	 1.796e-02
       Maxwell	 2.098e+00	 2.115e+00	 2.129e+00	 1.150e-02
    Maxwell_BC	 1.711e+00	 1.736e+00	 1.746e+00	 1.474e-02
   Diagnostics	 5.470e+00	 5.536e+00	 5.574e+00	 3.961e-02
     Densities	 4.226e-01	 4.257e-01	 4.298e-01	 2.602e-03
    Collisions	 1.672e+00	 1.695e+00	 1.710e+00	 1.442e-02
    Mov window	 4.255e-01	 4.307e-01	 4.380e-01	 4.550e-03
Sync Particles	 8.484e+00	 8.555e+00	 8.659e+00	 6.391e-02
   Sync Fields	 3.976e+00	 4.093e+00	 4.160e+00	 7.044e-02
Sync Densities	 4.038e+00	 4.241e+00	 4.376e+00	 1.248e-01
  Part Merging	 8.499e-01	 8.612e-01	 8.710e-01	 7.709e-03
Part Injection	 8.428e-01	 8.589e-01	 8.763e-01	 1.381e-02


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.693e+00	 1.719e+00	 1.743e+00	 1.796e-02
       Maxwell	 2.098e+00	 2.115e+00	 2.129e+00	 1.150e-02
    Maxwell_BC	 1.711e+00	 1.736e+00	 1.746e+00	 1.474e-02
   Diagnostics	 5.494e+00	 5.562e+00	 5.600e+00	 4.091e-02
     Densities	 4.246e-01	 4.283e-01	 4.317e-01	 2.672e-03
    Collisions	 1.679e+00	 1.703e+00	 1.718e+00	 1.482e-02
    Mov window	 4.278e-01	 4.330e-01	 4.398e-01	 4.324e-03
Sync Particles	 8.484e+00	 8.555e+00	 8.659e+00	 6.391e-02
   Sync Fields	 3.976e+00	 4.093e+00	 4.160e+00	 7.044e-02
Sync Densities	 4.038e+00	 4.241e+00	 4.376e+00	 1.248e-01
  Part Merging	 8.499e-01	 8.612e-01	 8.710e-01	 7.709e-03
Part Injection	 8.428e-01	 8.589e-01	 8.763e-01	 1.381e-02
