

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.103e-01	 7.208e-01	 7.345e-01	 9.682e-03
       Maxwell	 8.774e-01	 8.878e-01	 8.946e-01	 6.399e-03
    Maxwell_BC	 7.126e-01	 7.241e-01	 7.384e-01	 9.486e-03
   Diagnostics	 2.294e+00	 2.319e+00	 2.345e+00	 1.816e-02
     Densities	 1.734e-01	 1.769e-01	 1.822e-01	 3.230e-03
    Collisions	 7.029e-01	 7.161e-01	 7.305e-01	 9.757e-03
    Mov window	 1.686e-01	 1.771e-01	 1.818e-01	 5.101e-03
Sync Particles	 3.512e+00	 3.523e+00	 3.539e+00	 1.159e-02
   Sync Fields	 1.557e+00	 1.620e+00	 1.702e+00	 5.580e-02
Sync Densities	 1.690e+00	 1.732e+00	 1.777e+00	 3.241e-02
  Part Merging	 3.484e-01	 3.553e-01	 3.624e-01	 4.957e-03
Part Injection	 3.533e-01	 3.616e-01	 3.779e-01	 1.001e-02


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.412e+00	 1.433e+00	 1.455e+00	 1.562e-02
       Maxwell	 1.757e+00	 1.774e+00	 1.785e+00	 1.082e-02
    Maxwell_BC	 1.429e+00	 1.439e+00	 1.448e+00	 7.408e-03
   Diagnostics	 4.601e+00	 4.622e+00	 4.630e+00	 1.228e-02
     Densities	 3.502e-01	 3.586e-01	 3.649e-01	 5.321e-03
    Collisions	 1.414e+00	 1.431e+00	 1.450e+00	 1.624e-02
    Mov window	 3.438e-01	 3.582e-01	 3.699e-01	 9.944e-03
Sync Particles	 7.013e+00	 7.079e+00	 7.135e+00	 4.525e-02
   Sync Fields	 3.219e+00	 3.309e+00	 3.401e+00	 6.504e-02
Sync Densities	 3.393e+00	 3.466e+00	 3.548e+00	 5.657e-02
  Part Merging	 7.045e-01	 7.141e-01	 7.238e-01	 6.983e-03
Part Injection	 6.946e-01	 7.153e-01	 7.431e-01	 1.868e-02


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.130e+00	 2.154e+00	 2.171e+00	 1.556e-02
       Maxwell	 2.641e+00	 2.665e+00	 2.692e+00	 2.116e-02
    Maxwell_BC	 2.138e+00	 2.169e+00	 2.188e+00	 1.863e-02
   Diagnostics	 6.896e+00	 6.937e+00	 6.965e+00	 2.523e-02
     Densities	 5.353e-01	 5.433e-01	 5.517e-01	 7.841e-03
    Collisions	 2.126e+00	 2.146e+00	 2.166e+00	 1.731e-02
    Mov window	 5.252e-01	 5.356e-01	 5.456e-01	 9.067e-03
Sync Particles	 1.062e+01	 1.068e+01	 1.072e+01	 3.937e-02
   Sync Fields	 4.860e+00	 5.014e+00	 5.113e+00	 1.053e-01
Sync Densities	 5.105e+00	 5.210e+00	 5.275e+00	 7.101e-02
  Part Merging	 1.051e+00	 1.069e+00	 1.088e+00	 1.302e-02
Part Injection	 1.060e+00	 1.077e+00	 1.091e+00	 1.149e-02


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.848e+00	 2.863e+00	 2.881e+00	 1.225e-02
       Maxwell	 3.526e+00	 3.547e+00	 3.575e+00	 1.861e-02
    Maxwell_BC	 2.822e+00	 2.877e+00	 2.913e+00	 3.358e-02
   Diagnostics	 9.179e+00	 9.222e+00	 9.270e+00	 3.220e-02
     Densities	 7.101e-01	 7.254e-01	 7.359e-01	 9.434e-03
    Collisions	 2.819e+00	 2.852e+00	 2.873e+00	 2.195e-02
    Mov window	 6.994e-01	 7.114e-01	 7.252e-01	 1.127e-02
Sync Particles	 1.415e+01	 1.422e+01	 1.428e+01	 4.460e-02
   Sync Fields	 6.365e+00	 6.631e+00	 6.798e+00	 1.757e-01
Sync Densities	 6.813e+00	 6.894e+00	 7.000e+00	 6.902e-02
  Part Merging	 1.414e+00	 1.426e+00	 1.446e+00	 1.238e-02
Part Injection	 1.415e+00	 1.426e+00	 1.436e+00	 9.342e-03


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.553e+00	 3.572e+00	 3.597e+00	 1.676e-02
       Maxwell	 4.411e+00	 4.438e+00	 4.458e+00	 1.769e-02
    Maxwell_BC	 3.538e+00	 3.601e+00	 3.648e+00	 4.012e-02
   Diagnostics	 1.148e+01	 1.153e+01	 1.157e+01	 3.387e-02
     Densities	 8.792e-01	 9.074e-01	 9.288e-01	 1.793e-02
    Collisions	 3.536e+00	 3.562e+00	 3.577e+00	 1.652e-02
    Mov window	 8.785e-01	 8.926e-01	 9.078e-01	 1.236e-02
Sync Particles	 1.775e+01	 1.776e+01	 1.777e+01	 1.177e-02
   Sync Fields	 8.030e+00	 8.293e+00	 8.502e+00	 2.099e-01
Sync Densities	 8.517e+00	 8.610e+00	 8.740e+00	 8.729e-02
  Part Merging	 1.755e+00	 1.782e+00	 1.800e+00	 1.889e-02
Part Injection	 1.756e+00	 1.784e+00	 1.802e+00	 1.751e-02


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.253e+00	 4.295e+00	 4.321e+00	 2.545e-02
       Maxwell	 5.315e+00	 5.337e+00	 5.364e+00	 2.074e-02
    Maxwell_BC	 4.261e+00	 4.331e+00	 4.365e+00	 4.269e-02
   Diagnostics	 1.381e+01	 1.385e+01	 1.389e+01	 2.804e-02
     Densities	 1.055e+00	 1.085e+00	 1.109e+00	 1.949e-02
    Collisions	 4.257e+00	 4.281e+00	 4.302e+00	 1.715e-02
    Mov window	 1.058e+00	 1.067e+00	 1.078e+00	 9.064e-03
Sync Particles	 2.130e+01	 2.132e+01	 2.135e+01	 2.133e-02
   Sync Fields	 9.654e+00	 9.891e+00	 1.013e+01	 2.321e-01
Sync Densities	 1.020e+01	 1.031e+01	 1.041e+01	 8.813e-02
  Part Merging	 2.113e+00	 2.138e+00	 2.154e+00	 1.590e-02
Part Injection	 2.106e+00	 2.144e+00	 2.167e+00	 2.300e-02


--- Timestep = 6 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.961e+00	 5.003e+00	 5.024e+00	 2.484e-02
       Maxwell	 6.197e+00	 6.226e+00	 6.261e+00	 2.612e-02
    Maxwell_BC	 4.984e+00	 5.050e+00	 5.095e+00	 4.265e-02
   Diagnostics	 1.612e+01	 1.616e+01	 1.617e+01	 2.312e-02
     Densities	 1.233e+00	 1.268e+00	 1.296e+00	 2.337e-02
    Collisions	 4.968e+00	 4.994e+00	 5.026e+00	 2.211e-02
    Mov window	 1.232e+00	 1.243e+00	 1.251e+00	 8.065e-03
Sync Particles	 2.483e+01	 2.487e+01	 2.489e+01	 2.259e-02
   Sync Fields	 1.127e+01	 1.154e+01	 1.180e+01	 2.301e-01
Sync Densities	 1.194e+01	 1.204e+01	 1.215e+01	 9.859e-02
  Part Merging	 2.481e+00	 2.494e+00	 2.513e+00	 1.249e-02
Part Injection	 2.450e+00	 2.490e+00	 2.513e+00	 2.384e-02


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.658e+00	 5.713e+00	 5.742e+00	 3.246e-02
       Maxwell	 7.100e+00	 7.123e+00	 7.158e+00	 2.441e-02
    Maxwell_BC	 5.712e+00	 5.765e+00	 5.811e+00	 3.897e-02
   Diagnostics	 1.842e+01	 1.845e+01	 1.848e+01	 2.181e-02
     Densities	 1.414e+00	 1.447e+00	 1.476e+00	 2.424e-02
    Collisions	 5.656e+00	 5.706e+00	 5.732e+00	 2.987e-02
    Mov window	 1.413e+00	 1.424e+00	 1.433e+00	 8.792e-03
Sync Particles	 2.836e+01	 2.842e+01	 2.848e+01	 4.416e-02
   Sync Fields	 1.282e+01	 1.315e+01	 1.346e+01	 2.604e-01
Sync Densities	 1.366e+01	 1.377e+01	 1.389e+01	 1.023e-01
  Part Merging	 2.834e+00	 2.853e+00	 2.879e+00	 1.668e-02
Part Injection	 2.805e+00	 2.835e+00	 2.869e+00	 2.282e-02


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.376e+00	 6.428e+00	 6.446e+00	 2.994e-02
       Maxwell	 7.982e+00	 8.020e+00	 8.075e+00	 3.861e-02
    Maxwell_BC	 6.440e+00	 6.488e+00	 6.521e+00	 3.208e-02
   Diagnostics	 2.073e+01	 2.077e+01	 2.078e+01	 2.199e-02
     Densities	 1.597e+00	 1.629e+00	 1.653e+00	 2.181e-02
    Collisions	 6.365e+00	 6.416e+00	 6.438e+00	 2.965e-02
    Mov window	 1.587e+00	 1.602e+00	 1.612e+00	 9.797e-03
Sync Particles	 3.193e+01	 3.199e+01	 3.201e+01	 3.368e-02
   Sync Fields	 1.456e+01	 1.484e+01	 1.516e+01	 2.768e-01
Sync Densities	 1.538e+01	 1.554e+01	 1.566e+01	 1.243e-01
  Part Merging	 3.185e+00	 3.206e+00	 3.228e+00	 1.583e-02
Part Injection	 3.166e+00	 3.192e+00	 3.224e+00	 2.093e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.090e+00	 7.143e+00	 7.183e+00	 3.373e-02
       Maxwell	 8.856e+00	 8.914e+00	 8.970e+00	 4.541e-02
    Maxwell_BC	 7.172e+00	 7.226e+00	 7.262e+00	 3.604e-02
