

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.869e-01	 3.927e-01	 4.001e-01	 5.838e-03
       Maxwell	 4.806e-01	 4.846e-01	 4.915e-01	 4.402e-03
    Maxwell_BC	 3.970e-01	 4.023e-01	 4.064e-01	 3.834e-03
   Diagnostics	 1.234e+00	 1.258e+00	 1.269e+00	 1.416e-02
     Densities	 9.509e-02	 9.892e-02	 1.043e-01	 3.366e-03
    Collisions	 3.816e-01	 3.880e-01	 3.962e-01	 5.329e-03
    Mov window	 8.603e-02	 9.438e-02	 9.869e-02	 4.992e-03
Sync Particles	 1.934e+00	 1.953e+00	 1.966e+00	 1.222e-02
   Sync Fields	 8.733e-01	 9.071e-01	 9.635e-01	 3.644e-02
Sync Densities	 8.564e-01	 9.186e-01	 9.596e-01	 3.967e-02
  Part Merging	 1.852e-01	 1.906e-01	 1.958e-01	 4.179e-03
Part Injection	 1.978e-01	 2.004e-01	 2.034e-01	 2.427e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.020e+00	 1.031e+00	 1.038e+00	 6.862e-03
       Maxwell	 1.261e+00	 1.273e+00	 1.288e+00	 9.667e-03
    Maxwell_BC	 1.034e+00	 1.048e+00	 1.054e+00	 8.216e-03
   Diagnostics	 3.263e+00	 3.297e+00	 3.324e+00	 2.244e-02
     Densities	 2.549e-01	 2.624e-01	 2.680e-01	 5.510e-03
    Collisions	 1.006e+00	 1.013e+00	 1.020e+00	 6.833e-03
    Mov window	 2.443e-01	 2.500e-01	 2.551e-01	 3.846e-03
Sync Particles	 5.074e+00	 5.102e+00	 5.150e+00	 2.899e-02
   Sync Fields	 2.284e+00	 2.370e+00	 2.427e+00	 5.274e-02
Sync Densities	 2.316e+00	 2.458e+00	 2.524e+00	 8.366e-02
  Part Merging	 5.020e-01	 5.068e-01	 5.140e-01	 4.542e-03
Part Injection	 5.181e-01	 5.209e-01	 5.227e-01	 1.742e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.658e+00	 1.682e+00	 1.703e+00	 1.625e-02
       Maxwell	 2.049e+00	 2.065e+00	 2.095e+00	 1.818e-02
    Maxwell_BC	 1.686e+00	 1.703e+00	 1.717e+00	 1.318e-02
   Diagnostics	 5.311e+00	 5.351e+00	 5.403e+00	 3.429e-02
     Densities	 4.165e-01	 4.240e-01	 4.279e-01	 4.553e-03
    Collisions	 1.630e+00	 1.650e+00	 1.660e+00	 1.168e-02
    Mov window	 4.007e-01	 4.099e-01	 4.199e-01	 6.859e-03
Sync Particles	 8.261e+00	 8.302e+00	 8.400e+00	 5.703e-02
   Sync Fields	 3.670e+00	 3.834e+00	 3.905e+00	 9.546e-02
Sync Densities	 3.800e+00	 4.005e+00	 4.161e+00	 1.306e-01
  Part Merging	 8.147e-01	 8.253e-01	 8.360e-01	 9.046e-03
Part Injection	 8.412e-01	 8.469e-01	 8.553e-01	 5.548e-03


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.292e+00	 2.316e+00	 2.337e+00	 1.620e-02
       Maxwell	 2.838e+00	 2.852e+00	 2.887e+00	 2.016e-02
    Maxwell_BC	 2.332e+00	 2.354e+00	 2.380e+00	 2.004e-02
   Diagnostics	 7.344e+00	 7.400e+00	 7.443e+00	 3.571e-02
     Densities	 5.618e-01	 5.815e-01	 5.901e-01	 1.147e-02
    Collisions	 2.267e+00	 2.284e+00	 2.291e+00	 9.784e-03
    Mov window	 5.560e-01	 5.662e-01	 5.788e-01	 8.159e-03
Sync Particles	 1.142e+01	 1.148e+01	 1.158e+01	 6.306e-02
   Sync Fields	 5.128e+00	 5.329e+00	 5.432e+00	 1.211e-01
Sync Densities	 5.370e+00	 5.562e+00	 5.722e+00	 1.262e-01
  Part Merging	 1.128e+00	 1.143e+00	 1.157e+00	 1.265e-02
Part Injection	 1.158e+00	 1.167e+00	 1.178e+00	 8.812e-03


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.292e+00	 2.316e+00	 2.337e+00	 1.620e-02
       Maxwell	 2.838e+00	 2.852e+00	 2.887e+00	 2.016e-02
    Maxwell_BC	 2.332e+00	 2.354e+00	 2.380e+00	 2.004e-02
   Diagnostics	 7.364e+00	 7.422e+00	 7.467e+00	 3.681e-02
     Densities	 5.627e-01	 5.832e-01	 5.920e-01	 1.186e-02
    Collisions	 2.275e+00	 2.291e+00	 2.298e+00	 9.440e-03
    Mov window	 5.585e-01	 5.680e-01	 5.802e-01	 7.810e-03
Sync Particles	 1.142e+01	 1.148e+01	 1.158e+01	 6.306e-02
   Sync Fields	 5.128e+00	 5.329e+00	 5.432e+00	 1.211e-01
Sync Densities	 5.370e+00	 5.562e+00	 5.722e+00	 1.262e-01
  Part Merging	 1.128e+00	 1.143e+00	 1.157e+00	 1.265e-02
Part Injection	 1.158e+00	 1.167e+00	 1.178e+00	 8.812e-03
