

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.205e-01	 6.371e-01	 6.552e-01	 1.280e-02
       Maxwell	 7.754e-01	 7.870e-01	 8.007e-01	 1.063e-02
    Maxwell_BC	 6.395e-01	 6.441e-01	 6.562e-01	 7.001e-03
   Diagnostics	 2.022e+00	 2.039e+00	 2.059e+00	 1.423e-02
     Densities	 1.590e-01	 1.624e-01	 1.666e-01	 3.239e-03
    Collisions	 6.199e-01	 6.268e-01	 6.366e-01	 6.119e-03
    Mov window	 1.482e-01	 1.517e-01	 1.550e-01	 2.462e-03
Sync Particles	 3.095e+00	 3.122e+00	 3.137e+00	 1.684e-02
   Sync Fields	 1.376e+00	 1.436e+00	 1.476e+00	 4.108e-02
Sync Densities	 1.489e+00	 1.531e+00	 1.566e+00	 2.900e-02
  Part Merging	 3.114e-01	 3.148e-01	 3.173e-01	 2.282e-03
Part Injection	 3.142e-01	 3.180e-01	 3.211e-01	 2.736e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.262e+00	 1.273e+00	 1.285e+00	 1.085e-02
       Maxwell	 1.568e+00	 1.581e+00	 1.594e+00	 1.075e-02
    Maxwell_BC	 1.279e+00	 1.294e+00	 1.309e+00	 1.411e-02
   Diagnostics	 4.063e+00	 4.088e+00	 4.107e+00	 1.757e-02
     Densities	 3.114e-01	 3.207e-01	 3.246e-01	 5.379e-03
    Collisions	 1.253e+00	 1.258e+00	 1.267e+00	 5.678e-03
    Mov window	 3.077e-01	 3.105e-01	 3.141e-01	 2.332e-03
Sync Particles	 6.276e+00	 6.293e+00	 6.308e+00	 1.440e-02
   Sync Fields	 2.794e+00	 2.873e+00	 2.919e+00	 4.858e-02
Sync Densities	 3.028e+00	 3.057e+00	 3.112e+00	 3.262e-02
  Part Merging	 6.221e-01	 6.320e-01	 6.418e-01	 6.976e-03
Part Injection	 6.381e-01	 6.452e-01	 6.514e-01	 4.774e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.889e+00	 1.905e+00	 1.924e+00	 1.447e-02
       Maxwell	 2.343e+00	 2.368e+00	 2.396e+00	 1.893e-02
    Maxwell_BC	 1.900e+00	 1.938e+00	 1.966e+00	 2.526e-02
   Diagnostics	 6.096e+00	 6.131e+00	 6.186e+00	 3.689e-02
     Densities	 4.709e-01	 4.791e-01	 4.864e-01	 5.474e-03
    Collisions	 1.876e+00	 1.888e+00	 1.901e+00	 8.641e-03
    Mov window	 4.609e-01	 4.639e-01	 4.654e-01	 1.790e-03
Sync Particles	 9.435e+00	 9.452e+00	 9.471e+00	 1.723e-02
   Sync Fields	 4.245e+00	 4.349e+00	 4.435e+00	 8.092e-02
Sync Densities	 4.512e+00	 4.583e+00	 4.639e+00	 5.609e-02
  Part Merging	 9.377e-01	 9.518e-01	 9.644e-01	 9.491e-03
Part Injection	 9.444e-01	 9.577e-01	 9.733e-01	 1.136e-02


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.535e+00	 2.553e+00	 2.562e+00	 1.088e-02
       Maxwell	 3.142e+00	 3.164e+00	 3.193e+00	 1.968e-02
    Maxwell_BC	 2.566e+00	 2.594e+00	 2.631e+00	 2.376e-02
   Diagnostics	 8.156e+00	 8.196e+00	 8.232e+00	 3.270e-02
     Densities	 6.297e-01	 6.423e-01	 6.525e-01	 1.016e-02
    Collisions	 2.515e+00	 2.524e+00	 2.531e+00	 7.311e-03
    Mov window	 6.105e-01	 6.191e-01	 6.279e-01	 6.421e-03
Sync Particles	 1.259e+01	 1.263e+01	 1.266e+01	 3.273e-02
   Sync Fields	 5.657e+00	 5.790e+00	 5.879e+00	 9.254e-02
Sync Densities	 6.007e+00	 6.104e+00	 6.234e+00	 8.223e-02
  Part Merging	 1.262e+00	 1.270e+00	 1.282e+00	 7.668e-03
Part Injection	 1.273e+00	 1.286e+00	 1.304e+00	 1.322e-02


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.173e+00	 3.189e+00	 3.200e+00	 9.850e-03
       Maxwell	 3.927e+00	 3.955e+00	 3.989e+00	 2.612e-02
    Maxwell_BC	 3.228e+00	 3.250e+00	 3.288e+00	 2.266e-02
   Diagnostics	 1.019e+01	 1.025e+01	 1.031e+01	 4.737e-02
     Densities	 7.933e-01	 8.092e-01	 8.233e-01	 1.062e-02
    Collisions	 3.147e+00	 3.156e+00	 3.162e+00	 5.377e-03
    Mov window	 7.727e-01	 7.777e-01	 7.890e-01	 6.580e-03
Sync Particles	 1.576e+01	 1.581e+01	 1.587e+01	 4.735e-02
   Sync Fields	 7.079e+00	 7.268e+00	 7.387e+00	 1.212e-01
Sync Densities	 7.428e+00	 7.614e+00	 7.760e+00	 1.211e-01
  Part Merging	 1.579e+00	 1.589e+00	 1.603e+00	 8.958e-03
Part Injection	 1.585e+00	 1.604e+00	 1.628e+00	 1.746e-02


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.811e+00	 3.820e+00	 3.831e+00	 6.981e-03
       Maxwell	 4.711e+00	 4.742e+00	 4.778e+00	 2.690e-02
    Maxwell_BC	 3.872e+00	 3.892e+00	 3.921e+00	 1.851e-02
   Diagnostics	 1.223e+01	 1.229e+01	 1.234e+01	 4.197e-02
     Densities	 9.504e-01	 9.689e-01	 9.906e-01	 1.432e-02
    Collisions	 3.769e+00	 3.783e+00	 3.788e+00	 8.249e-03
    Mov window	 9.280e-01	 9.368e-01	 9.555e-01	 1.093e-02
Sync Particles	 1.892e+01	 1.896e+01	 1.902e+01	 4.434e-02
   Sync Fields	 8.533e+00	 8.667e+00	 8.748e+00	 8.700e-02
Sync Densities	 8.888e+00	 9.057e+00	 9.203e+00	 1.137e-01
  Part Merging	 1.901e+00	 1.908e+00	 1.923e+00	 8.910e-03
