##################################################################
# Time: Fri May 29 22:45:54 2026
# System: Linux (6.8.0-111-generic), aarch64
# Version: #111-Ubuntu SMP PREEMPT_DYNAMIC Sat Apr 11 22:59:23 UTC 2026
# Total memory on nodes: min=54.81GB, max=54.81GB
##################################################################

MemInit  : Max = 3.586132, Min = 3.586132, Average = 3.586132 
Step    1: Max = 3.582287, Min = 3.582287, Average = 3.582287 
Step    2: Max = 3.574116, Min = 3.574116, Average = 3.574116 
Step    3: Max = 3.570271, Min = 3.570271, Average = 3.570271 
Step    4: Max = 3.568588, Min = 3.568588, Average = 3.568588 
Step    5: Max = 3.583233, Min = 3.583233, Average = 3.583233 
Step    6: Max = 3.577709, Min = 3.577709, Average = 3.577709 
Step    7: Max = 3.570499, Min = 3.570499, Average = 3.570499 
Step    8: Max = 3.564743, Min = 3.564743, Average = 3.564743 
Step    9: Max = 3.561138, Min = 3.561138, Average = 3.561138 
Step   10: Max = 3.589680, Min = 3.589680, Average = 3.589680 
Step   11: Max = 3.589680, Min = 3.589680, Average = 3.589680 
Step   12: Max = 3.587997, Min = 3.587997, Average = 3.587997 
Step   13: Max = 3.587757, Min = 3.587757, Average = 3.587757 
Step   14: Max = 3.587757, Min = 3.587757, Average = 3.587757 
Step   15: Max = 3.608883, Min = 3.608883, Average = 3.608883 
Step   16: Max = 3.608162, Min = 3.608162, Average = 3.608162 
Step   17: Max = 3.608162, Min = 3.608162, Average = 3.608162 
Step   18: Max = 3.625145, Min = 3.625145, Average = 3.625145 
Step   19: Max = 3.632618, Min = 3.632618, Average = 3.632618 
Step   20: Max = 3.632618, Min = 3.632618, Average = 3.632618 
Step   21: Max = 3.623245, Min = 3.623245, Average = 3.623245 
Step   22: Max = 3.634613, Min = 3.634613, Average = 3.634613 
Step   23: Max = 3.639668, Min = 3.639668, Average = 3.639668 
Step   24: Max = 3.638710, Min = 3.638710, Average = 3.638710 
Step   25: Max = 3.682312, Min = 3.682312, Average = 3.682312 
Step   26: Max = 3.682426, Min = 3.682426, Average = 3.682426 
Step   27: Max = 3.708935, Min = 3.708935, Average = 3.708935 
Step   28: Max = 3.707973, Min = 3.707973, Average = 3.707973 
Step   29: Max = 3.717243, Min = 3.717243, Average = 3.717243 
Step   30: Max = 3.734837, Min = 3.734837, Average = 3.734837 
