

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.240e-01	 6.334e-01	 6.376e-01	 5.483e-03
       Maxwell	 7.739e-01	 7.813e-01	 7.906e-01	 6.809e-03
    Maxwell_BC	 6.382e-01	 6.460e-01	 6.527e-01	 5.562e-03
   Diagnostics	 2.030e+00	 2.041e+00	 2.059e+00	 1.115e-02
     Densities	 1.517e-01	 1.584e-01	 1.659e-01	 6.240e-03
    Collisions	 6.254e-01	 6.327e-01	 6.429e-01	 6.407e-03
    Mov window	 1.548e-01	 1.562e-01	 1.578e-01	 1.112e-03
Sync Particles	 3.103e+00	 3.114e+00	 3.126e+00	 1.073e-02
   Sync Fields	 1.414e+00	 1.462e+00	 1.508e+00	 4.124e-02
Sync Densities	 1.494e+00	 1.517e+00	 1.538e+00	 1.617e-02
  Part Merging	 3.035e-01	 3.121e-01	 3.198e-01	 5.831e-03
Part Injection	 3.046e-01	 3.178e-01	 3.328e-01	 1.070e-02


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.269e+00	 1.277e+00	 1.285e+00	 6.285e-03
       Maxwell	 1.568e+00	 1.574e+00	 1.586e+00	 7.074e-03
    Maxwell_BC	 1.284e+00	 1.297e+00	 1.316e+00	 1.182e-02
   Diagnostics	 4.083e+00	 4.096e+00	 4.110e+00	 1.161e-02
     Densities	 3.070e-01	 3.174e-01	 3.268e-01	 8.043e-03
    Collisions	 1.258e+00	 1.267e+00	 1.275e+00	 5.937e-03
    Mov window	 3.132e-01	 3.160e-01	 3.186e-01	 1.952e-03
Sync Particles	 6.276e+00	 6.305e+00	 6.339e+00	 2.407e-02
   Sync Fields	 2.861e+00	 2.925e+00	 3.030e+00	 6.524e-02
Sync Densities	 3.045e+00	 3.066e+00	 3.086e+00	 1.593e-02
  Part Merging	 6.208e-01	 6.266e-01	 6.334e-01	 5.426e-03
Part Injection	 6.218e-01	 6.425e-01	 6.660e-01	 1.569e-02


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.908e+00	 1.918e+00	 1.929e+00	 7.860e-03
       Maxwell	 2.356e+00	 2.366e+00	 2.376e+00	 8.561e-03
    Maxwell_BC	 1.916e+00	 1.940e+00	 1.966e+00	 1.891e-02
   Diagnostics	 6.145e+00	 6.153e+00	 6.157e+00	 4.668e-03
     Densities	 4.742e-01	 4.803e-01	 4.836e-01	 3.634e-03
    Collisions	 1.895e+00	 1.910e+00	 1.920e+00	 1.024e-02
    Mov window	 4.728e-01	 4.740e-01	 4.765e-01	 1.504e-03
Sync Particles	 9.479e+00	 9.500e+00	 9.514e+00	 1.466e-02
   Sync Fields	 4.346e+00	 4.444e+00	 4.591e+00	 9.705e-02
Sync Densities	 4.591e+00	 4.675e+00	 4.745e+00	 5.501e-02
  Part Merging	 9.358e-01	 9.476e-01	 9.611e-01	 9.154e-03
Part Injection	 9.445e-01	 9.619e-01	 9.861e-01	 1.517e-02


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.541e+00	 2.551e+00	 2.559e+00	 6.842e-03
       Maxwell	 3.136e+00	 3.147e+00	 3.159e+00	 9.058e-03
    Maxwell_BC	 2.542e+00	 2.578e+00	 2.616e+00	 2.673e-02
   Diagnostics	 8.159e+00	 8.187e+00	 8.200e+00	 1.664e-02
     Densities	 6.283e-01	 6.337e-01	 6.395e-01	 4.606e-03
    Collisions	 2.519e+00	 2.539e+00	 2.552e+00	 1.329e-02
