

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.253e-01	 1.304e-01	 1.383e-01	 4.843e-03
       Maxwell	 1.527e-01	 1.585e-01	 1.613e-01	 3.417e-03
    Maxwell_BC	 1.312e-01	 1.343e-01	 1.405e-01	 3.630e-03
   Diagnostics	 4.012e-01	 4.128e-01	 4.247e-01	 8.295e-03
     Densities	 2.990e-02	 3.349e-02	 4.043e-02	 4.092e-03
    Collisions	 1.258e-01	 1.275e-01	 1.298e-01	 1.487e-03
    Mov window	 2.997e-02	 3.079e-02	 3.243e-02	 9.666e-04
Sync Particles	 6.268e-01	 6.469e-01	 6.710e-01	 1.655e-02
   Sync Fields	 2.732e-01	 3.031e-01	 3.346e-01	 2.627e-02
Sync Densities	 3.005e-01	 3.157e-01	 3.393e-01	 1.440e-02
  Part Merging	 6.387e-02	 6.779e-02	 7.530e-02	 4.429e-03
Part Injection	 5.947e-02	 6.368e-02	 6.562e-02	 2.464e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.590e-01	 7.659e-01	 7.698e-01	 4.279e-03
       Maxwell	 9.310e-01	 9.401e-01	 9.532e-01	 8.943e-03
    Maxwell_BC	 7.652e-01	 7.702e-01	 7.772e-01	 4.778e-03
   Diagnostics	 2.420e+00	 2.438e+00	 2.459e+00	 1.443e-02
     Densities	 1.834e-01	 1.912e-01	 2.049e-01	 8.202e-03
    Collisions	 7.503e-01	 7.547e-01	 7.567e-01	 2.598e-03
    Mov window	 1.779e-01	 1.827e-01	 1.846e-01	 2.781e-03
Sync Particles	 3.757e+00	 3.780e+00	 3.810e+00	 2.170e-02
   Sync Fields	 1.616e+00	 1.725e+00	 1.818e+00	 7.914e-02
Sync Densities	 1.781e+00	 1.809e+00	 1.838e+00	 2.065e-02
  Part Merging	 3.698e-01	 3.740e-01	 3.834e-01	 5.452e-03
Part Injection	 3.745e-01	 3.793e-01	 3.877e-01	 5.030e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.385e+00	 1.391e+00	 1.398e+00	 4.916e-03
       Maxwell	 1.710e+00	 1.725e+00	 1.741e+00	 1.167e-02
    Maxwell_BC	 1.403e+00	 1.413e+00	 1.417e+00	 5.975e-03
   Diagnostics	 4.464e+00	 4.479e+00	 4.512e+00	 1.915e-02
     Densities	 3.345e-01	 3.508e-01	 3.671e-01	 1.242e-02
    Collisions	 1.374e+00	 1.381e+00	 1.395e+00	 8.367e-03
    Mov window	 3.300e-01	 3.393e-01	 3.485e-01	 6.543e-03
Sync Particles	 6.904e+00	 6.932e+00	 6.961e+00	 2.362e-02
   Sync Fields	 3.031e+00	 3.170e+00	 3.293e+00	 1.008e-01
Sync Densities	 3.280e+00	 3.313e+00	 3.382e+00	 4.120e-02
  Part Merging	 6.764e-01	 6.857e-01	 7.040e-01	 1.077e-02
Part Injection	 6.820e-01	 6.966e-01	 7.163e-01	 1.243e-02


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.012e+00	 2.031e+00	 2.051e+00	 1.374e-02
       Maxwell	 2.495e+00	 2.507e+00	 2.515e+00	 8.039e-03
    Maxwell_BC	 2.048e+00	 2.063e+00	 2.077e+00	 1.269e-02
   Diagnostics	 6.506e+00	 6.536e+00	 6.552e+00	 1.742e-02
     Densities	 4.919e-01	 5.064e-01	 5.230e-01	 1.233e-02
    Collisions	 1.990e+00	 2.010e+00	 2.037e+00	 1.682e-02
    Mov window	 4.848e-01	 4.947e-01	 5.010e-01	 6.041e-03
Sync Particles	 1.006e+01	 1.010e+01	 1.014e+01	 3.844e-02
   Sync Fields	 4.488e+00	 4.649e+00	 4.822e+00	 1.254e-01
Sync Densities	 4.818e+00	 4.854e+00	 4.872e+00	 2.215e-02
  Part Merging	 9.934e-01	 1.004e+00	 1.025e+00	 1.285e-02
Part Injection	 1.008e+00	 1.020e+00	 1.035e+00	 1.016e-02


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.012e+00	 2.031e+00	 2.051e+00	 1.374e-02
       Maxwell	 2.495e+00	 2.507e+00	 2.515e+00	 8.039e-03
    Maxwell_BC	 2.048e+00	 2.063e+00	 2.077e+00	 1.269e-02
   Diagnostics	 6.528e+00	 6.558e+00	 6.573e+00	 1.759e-02
     Densities	 4.941e-01	 5.084e-01	 5.245e-01	 1.212e-02
    Collisions	 1.998e+00	 2.018e+00	 2.042e+00	 1.612e-02
    Mov window	 4.863e-01	 4.964e-01	 5.022e-01	 6.020e-03
Sync Particles	 1.006e+01	 1.010e+01	 1.014e+01	 3.844e-02
   Sync Fields	 4.488e+00	 4.649e+00	 4.822e+00	 1.254e-01
Sync Densities	 4.818e+00	 4.854e+00	 4.872e+00	 2.215e-02
  Part Merging	 9.934e-01	 1.004e+00	 1.025e+00	 1.285e-02
Part Injection	 1.008e+00	 1.020e+00	 1.035e+00	 1.016e-02
