

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.196e-01	 6.310e-01	 6.407e-01	 7.960e-03
       Maxwell	 7.738e-01	 7.870e-01	 7.940e-01	 8.100e-03
    Maxwell_BC	 6.392e-01	 6.466e-01	 6.586e-01	 7.431e-03
   Diagnostics	 2.024e+00	 2.039e+00	 2.046e+00	 8.840e-03
     Densities	 1.598e-01	 1.609e-01	 1.628e-01	 1.220e-03
    Collisions	 6.240e-01	 6.288e-01	 6.376e-01	 5.381e-03
    Mov window	 1.559e-01	 1.592e-01	 1.623e-01	 2.720e-03
Sync Particles	 3.103e+00	 3.131e+00	 3.166e+00	 2.283e-02
   Sync Fields	 1.440e+00	 1.527e+00	 1.582e+00	 5.276e-02
Sync Densities	 1.550e+00	 1.573e+00	 1.584e+00	 1.323e-02
  Part Merging	 3.062e-01	 3.144e-01	 3.188e-01	 4.876e-03
Part Injection	 3.104e-01	 3.139e-01	 3.159e-01	 2.110e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.246e+00	 1.261e+00	 1.277e+00	 1.156e-02
       Maxwell	 1.567e+00	 1.570e+00	 1.573e+00	 2.345e-03
    Maxwell_BC	 1.261e+00	 1.281e+00	 1.301e+00	 1.774e-02
   Diagnostics	 4.032e+00	 4.069e+00	 4.100e+00	 2.549e-02
     Densities	 3.155e-01	 3.203e-01	 3.250e-01	 4.629e-03
    Collisions	 1.242e+00	 1.255e+00	 1.274e+00	 1.192e-02
    Mov window	 3.130e-01	 3.168e-01	 3.197e-01	 2.653e-03
Sync Particles	 6.221e+00	 6.250e+00	 6.275e+00	 2.421e-02
   Sync Fields	 2.857e+00	 2.937e+00	 3.017e+00	 5.738e-02
Sync Densities	 3.026e+00	 3.067e+00	 3.119e+00	 3.558e-02
  Part Merging	 6.118e-01	 6.242e-01	 6.315e-01	 7.604e-03
Part Injection	 6.234e-01	 6.293e-01	 6.415e-01	 7.191e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.889e+00	 1.906e+00	 1.925e+00	 1.410e-02
       Maxwell	 2.351e+00	 2.366e+00	 2.381e+00	 1.141e-02
    Maxwell_BC	 1.907e+00	 1.937e+00	 1.972e+00	 2.351e-02
   Diagnostics	 6.081e+00	 6.123e+00	 6.180e+00	 3.703e-02
     Densities	 4.739e-01	 4.795e-01	 4.866e-01	 5.595e-03
    Collisions	 1.869e+00	 1.890e+00	 1.908e+00	 1.431e-02
    Mov window	 4.662e-01	 4.735e-01	 4.798e-01	 4.964e-03
Sync Particles	 9.371e+00	 9.435e+00	 9.508e+00	 4.907e-02
   Sync Fields	 4.195e+00	 4.389e+00	 4.463e+00	 1.125e-01
Sync Densities	 4.550e+00	 4.610e+00	 4.666e+00	 4.557e-02
  Part Merging	 9.261e-01	 9.461e-01	 9.641e-01	 1.357e-02
Part Injection	 9.407e-01	 9.508e-01	 9.655e-01	 9.390e-03


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.537e+00	 2.553e+00	 2.570e+00	 1.381e-02
       Maxwell	 3.141e+00	 3.166e+00	 3.186e+00	 1.665e-02
    Maxwell_BC	 2.555e+00	 2.584e+00	 2.613e+00	 2.190e-02
   Diagnostics	 8.137e+00	 8.186e+00	 8.261e+00	 4.579e-02
     Densities	 6.366e-01	 6.429e-01	 6.498e-01	 5.634e-03
    Collisions	 2.505e+00	 2.525e+00	 2.549e+00	 1.716e-02
    Mov window	 6.266e-01	 6.336e-01	 6.384e-01	 4.346e-03
Sync Particles	 1.258e+01	 1.263e+01	 1.269e+01	 4.773e-02
   Sync Fields	 5.630e+00	 5.880e+00	 6.011e+00	 1.474e-01
Sync Densities	 6.109e+00	 6.187e+00	 6.260e+00	 6.704e-02
  Part Merging	 1.251e+00	 1.267e+00	 1.285e+00	 1.311e-02
Part Injection	 1.260e+00	 1.273e+00	 1.294e+00	 1.255e-02


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.183e+00	 3.199e+00	 3.217e+00	 1.405e-02
       Maxwell	 3.945e+00	 3.960e+00	 3.968e+00	 9.201e-03
    Maxwell_BC	 3.187e+00	 3.233e+00	 3.261e+00	 2.893e-02
   Diagnostics	 1.021e+01	 1.025e+01	 1.034e+01	 5.294e-02
     Densities	 7.948e-01	 8.061e-01	 8.215e-01	 1.152e-02
    Collisions	 3.136e+00	 3.159e+00	 3.175e+00	 1.583e-02
    Mov window	 7.855e-01	 7.956e-01	 8.049e-01	 7.307e-03
Sync Particles	 1.576e+01	 1.584e+01	 1.593e+01	 5.961e-02
   Sync Fields	 7.128e+00	 7.394e+00	 7.546e+00	 1.609e-01
Sync Densities	 7.648e+00	 7.793e+00	 7.896e+00	 9.032e-02
  Part Merging	 1.562e+00	 1.581e+00	 1.600e+00	 1.409e-02
Part Injection	 1.589e+00	 1.599e+00	 1.622e+00	 1.329e-02


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.811e+00	 3.832e+00	 3.861e+00	 2.031e-02
       Maxwell	 4.740e+00	 4.758e+00	 4.779e+00	 1.424e-02
    Maxwell_BC	 3.836e+00	 3.886e+00	 3.915e+00	 3.114e-02
   Diagnostics	 1.225e+01	 1.230e+01	 1.240e+01	 6.037e-02
     Densities	 9.545e-01	 9.673e-01	 9.815e-01	 1.033e-02
    Collisions	 3.768e+00	 3.792e+00	 3.812e+00	 1.995e-02
    Mov window	 9.395e-01	 9.545e-01	 9.664e-01	 1.060e-02
Sync Particles	 1.888e+01	 1.900e+01	 1.911e+01	 8.364e-02
   Sync Fields	 8.526e+00	 8.864e+00	 9.083e+00	 2.122e-01
Sync Densities	 9.119e+00	 9.314e+00	 9.468e+00	 1.250e-01
  Part Merging	 1.884e+00	 1.899e+00	 1.916e+00	 1.288e-02
Part Injection	 1.907e+00	 1.920e+00	 1.941e+00	 1.249e-02


--- Timestep = 6 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.451e+00	 4.474e+00	 4.496e+00	 1.771e-02
       Maxwell	 5.546e+00	 5.558e+00	 5.571e+00	 9.368e-03
    Maxwell_BC	 4.482e+00	 4.530e+00	 4.556e+00	 2.844e-02
   Diagnostics	 1.430e+01	 1.435e+01	 1.445e+01	 6.242e-02
     Densities	 1.117e+00	 1.132e+00	 1.143e+00	 1.002e-02
    Collisions	 4.397e+00	 4.428e+00	 4.450e+00	 2.264e-02
    Mov window	 1.096e+00	 1.109e+00	 1.118e+00	 8.895e-03
Sync Particles	 2.203e+01	 2.217e+01	 2.229e+01	 9.449e-02
   Sync Fields	 1.003e+01	 1.034e+01	 1.063e+01	 2.159e-01
Sync Densities	 1.067e+01	 1.087e+01	 1.101e+01	 1.229e-01
  Part Merging	 2.190e+00	 2.216e+00	 2.240e+00	 1.842e-02
Part Injection	 2.223e+00	 2.242e+00	 2.261e+00	 1.739e-02


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.100e+00	 5.123e+00	 5.150e+00	 1.944e-02
       Maxwell	 6.342e+00	 6.366e+00	 6.381e+00	 1.493e-02
    Maxwell_BC	 5.118e+00	 5.179e+00	 5.213e+00	 3.664e-02
   Diagnostics	 1.637e+01	 1.642e+01	 1.652e+01	 5.677e-02
     Densities	 1.280e+00	 1.292e+00	 1.303e+00	 8.452e-03
    Collisions	 5.026e+00	 5.064e+00	 5.094e+00	 2.547e-02
    Mov window	 1.247e+00	 1.267e+00	 1.280e+00	 1.350e-02
Sync Particles	 2.522e+01	 2.539e+01	 2.553e+01	 1.096e-01
   Sync Fields	 1.150e+01	 1.184e+01	 1.217e+01	 2.375e-01
Sync Densities	 1.232e+01	 1.249e+01	 1.264e+01	 1.173e-01
  Part Merging	 2.507e+00	 2.536e+00	 2.566e+00	 2.192e-02
Part Injection	 2.556e+00	 2.573e+00	 2.586e+00	 1.162e-02


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.742e+00	 5.768e+00	 5.797e+00	 2.149e-02
       Maxwell	 7.140e+00	 7.165e+00	 7.186e+00	 1.753e-02
    Maxwell_BC	 5.764e+00	 5.826e+00	 5.867e+00	 3.769e-02
   Diagnostics	 1.841e+01	 1.848e+01	 1.858e+01	 6.134e-02
     Densities	 1.443e+00	 1.460e+00	 1.470e+00	 1.060e-02
    Collisions	 5.663e+00	 5.700e+00	 5.730e+00	 2.400e-02
    Mov window	 1.409e+00	 1.426e+00	 1.438e+00	 1.242e-02
Sync Particles	 2.840e+01	 2.859e+01	 2.872e+01	 1.152e-01
   Sync Fields	 1.293e+01	 1.331e+01	 1.367e+01	 2.620e-01
Sync Densities	 1.389e+01	 1.405e+01	 1.418e+01	 1.147e-01
  Part Merging	 2.839e+00	 2.857e+00	 2.882e+00	 1.833e-02
Part Injection	 2.877e+00	 2.894e+00	 2.908e+00	 1.360e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.380e+00	 6.411e+00	 6.437e+00	 2.342e-02
       Maxwell	 7.931e+00	 7.962e+00	 7.987e+00	 1.991e-02
    Maxwell_BC	 6.412e+00	 6.482e+00	 6.532e+00	 4.487e-02
   Diagnostics	 2.047e+01	 2.054e+01	 2.064e+01	 6.260e-02
     Densities	 1.595e+00	 1.616e+00	 1.627e+00	 1.228e-02
    Collisions	 6.289e+00	 6.333e+00	 6.363e+00	 2.721e-02
    Mov window	 1.559e+00	 1.583e+00	 1.603e+00	 1.605e-02
Sync Particles	 3.161e+01	 3.179e+01	 3.192e+01	 1.144e-01
   Sync Fields	 1.448e+01	 1.481e+01	 1.516e+01	 2.438e-01
Sync Densities	 1.542e+01	 1.564e+01	 1.576e+01	 1.336e-01
  Part Merging	 3.152e+00	 3.176e+00	 3.199e+00	 1.940e-02
Part Injection	 3.194e+00	 3.216e+00	 3.238e+00	 1.817e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.380e+00	 6.411e+00	 6.437e+00	 2.342e-02
       Maxwell	 7.931e+00	 7.962e+00	 7.987e+00	 1.991e-02
    Maxwell_BC	 6.412e+00	 6.482e+00	 6.532e+00	 4.487e-02
   Diagnostics	 2.050e+01	 2.056e+01	 2.067e+01	 6.372e-02
     Densities	 1.595e+00	 1.617e+00	 1.628e+00	 1.274e-02
    Collisions	 6.295e+00	 6.340e+00	 6.369e+00	 2.722e-02
    Mov window	 1.560e+00	 1.585e+00	 1.606e+00	 1.677e-02
Sync Particles	 3.161e+01	 3.179e+01	 3.192e+01	 1.144e-01
   Sync Fields	 1.448e+01	 1.481e+01	 1.516e+01	 2.438e-01
Sync Densities	 1.542e+01	 1.564e+01	 1.576e+01	 1.336e-01
  Part Merging	 3.152e+00	 3.176e+00	 3.199e+00	 1.940e-02
Part Injection	 3.194e+00	 3.216e+00	 3.238e+00	 1.817e-02
