

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.316e-01	 1.338e-01	 1.388e-01	 2.939e-03
       Maxwell	 1.564e-01	 1.653e-01	 1.711e-01	 6.006e-03
    Maxwell_BC	 1.346e-01	 1.380e-01	 1.437e-01	 3.391e-03
   Diagnostics	 4.261e-01	 4.299e-01	 4.329e-01	 2.698e-03
     Densities	 3.130e-02	 3.405e-02	 3.877e-02	 2.823e-03
    Collisions	 1.311e-01	 1.327e-01	 1.344e-01	 1.562e-03
    Mov window	 3.009e-02	 3.217e-02	 3.504e-02	 1.798e-03
Sync Particles	 6.538e-01	 6.720e-01	 6.926e-01	 1.671e-02
   Sync Fields	 2.803e-01	 3.095e-01	 3.396e-01	 2.343e-02
Sync Densities	 2.944e-01	 3.152e-01	 3.321e-01	 1.363e-02
  Part Merging	 6.393e-02	 6.580e-02	 6.890e-02	 1.878e-03
Part Injection	 6.539e-02	 6.989e-02	 7.405e-02	 3.152e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.627e-01	 7.718e-01	 7.802e-01	 6.396e-03
       Maxwell	 9.360e-01	 9.500e-01	 9.646e-01	 1.021e-02
    Maxwell_BC	 7.648e-01	 7.730e-01	 7.848e-01	 8.565e-03
   Diagnostics	 2.464e+00	 2.472e+00	 2.484e+00	 7.280e-03
     Densities	 1.851e-01	 1.928e-01	 2.084e-01	 9.377e-03
    Collisions	 7.574e-01	 7.640e-01	 7.696e-01	 4.520e-03
    Mov window	 1.763e-01	 1.852e-01	 1.937e-01	 6.176e-03
Sync Particles	 3.799e+00	 3.825e+00	 3.884e+00	 3.448e-02
   Sync Fields	 1.692e+00	 1.754e+00	 1.805e+00	 4.182e-02
Sync Densities	 1.814e+00	 1.822e+00	 1.828e+00	 5.093e-03
  Part Merging	 3.764e-01	 3.826e-01	 3.900e-01	 5.025e-03
Part Injection	 3.834e-01	 3.848e-01	 3.860e-01	 9.539e-04


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.399e+00	 1.415e+00	 1.431e+00	 1.469e-02
       Maxwell	 1.731e+00	 1.754e+00	 1.782e+00	 1.870e-02
    Maxwell_BC	 1.401e+00	 1.429e+00	 1.446e+00	 1.729e-02
   Diagnostics	 4.519e+00	 4.554e+00	 4.610e+00	 3.479e-02
     Densities	 3.408e-01	 3.555e-01	 3.722e-01	 1.178e-02
    Collisions	 1.392e+00	 1.398e+00	 1.404e+00	 4.509e-03
    Mov window	 3.324e-01	 3.374e-01	 3.492e-01	 6.856e-03
Sync Particles	 6.997e+00	 7.043e+00	 7.146e+00	 6.005e-02
   Sync Fields	 3.108e+00	 3.215e+00	 3.294e+00	 6.764e-02
Sync Densities	 3.267e+00	 3.372e+00	 3.432e+00	 6.687e-02
  Part Merging	 6.935e-01	 7.048e-01	 7.201e-01	 1.124e-02
Part Injection	 7.049e-01	 7.092e-01	 7.123e-01	 3.076e-03


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.050e+00	 2.067e+00	 2.094e+00	 1.649e-02
       Maxwell	 2.539e+00	 2.561e+00	 2.580e+00	 1.695e-02
    Maxwell_BC	 2.054e+00	 2.094e+00	 2.124e+00	 2.877e-02
   Diagnostics	 6.575e+00	 6.630e+00	 6.708e+00	 4.845e-02
     Densities	 5.087e-01	 5.208e-01	 5.376e-01	 1.050e-02
    Collisions	 2.031e+00	 2.041e+00	 2.045e+00	 5.350e-03
    Mov window	 4.944e-01	 4.993e-01	 5.066e-01	 4.465e-03
Sync Particles	 1.022e+01	 1.026e+01	 1.035e+01	 5.299e-02
   Sync Fields	 4.618e+00	 4.709e+00	 4.771e+00	 6.157e-02
Sync Densities	 4.790e+00	 4.932e+00	 5.076e+00	 1.012e-01
  Part Merging	 1.020e+00	 1.030e+00	 1.040e+00	 9.761e-03
Part Injection	 1.030e+00	 1.037e+00	 1.043e+00	 5.178e-03


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.050e+00	 2.067e+00	 2.094e+00	 1.649e-02
       Maxwell	 2.539e+00	 2.561e+00	 2.580e+00	 1.695e-02
    Maxwell_BC	 2.054e+00	 2.094e+00	 2.124e+00	 2.877e-02
   Diagnostics	 6.597e+00	 6.650e+00	 6.728e+00	 4.800e-02
     Densities	 5.104e-01	 5.225e-01	 5.390e-01	 1.033e-02
    Collisions	 2.039e+00	 2.048e+00	 2.052e+00	 5.272e-03
    Mov window	 4.964e-01	 5.009e-01	 5.087e-01	 4.655e-03
Sync Particles	 1.022e+01	 1.026e+01	 1.035e+01	 5.299e-02
   Sync Fields	 4.618e+00	 4.709e+00	 4.771e+00	 6.157e-02
Sync Densities	 4.790e+00	 4.932e+00	 5.076e+00	 1.012e-01
  Part Merging	 1.020e+00	 1.030e+00	 1.040e+00	 9.761e-03
Part Injection	 1.030e+00	 1.037e+00	 1.043e+00	 5.178e-03
