

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.282e-01	 6.405e-01	 6.473e-01	 7.311e-03
       Maxwell	 7.790e-01	 7.847e-01	 7.911e-01	 5.185e-03
    Maxwell_BC	 6.310e-01	 6.493e-01	 6.573e-01	 1.064e-02
   Diagnostics	 2.027e+00	 2.049e+00	 2.070e+00	 1.553e-02
     Densities	 1.524e-01	 1.582e-01	 1.617e-01	 3.508e-03
    Collisions	 6.225e-01	 6.385e-01	 6.481e-01	 9.672e-03
    Mov window	 1.539e-01	 1.572e-01	 1.607e-01	 2.821e-03
Sync Particles	 3.124e+00	 3.144e+00	 3.168e+00	 1.602e-02
   Sync Fields	 1.384e+00	 1.430e+00	 1.485e+00	 3.638e-02
Sync Densities	 1.427e+00	 1.499e+00	 1.573e+00	 5.176e-02
  Part Merging	 3.052e-01	 3.161e-01	 3.227e-01	 6.532e-03
Part Injection	 3.080e-01	 3.119e-01	 3.190e-01	 4.243e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.271e+00	 1.289e+00	 1.299e+00	 1.054e-02
       Maxwell	 1.587e+00	 1.591e+00	 1.600e+00	 5.333e-03
    Maxwell_BC	 1.274e+00	 1.308e+00	 1.346e+00	 2.660e-02
   Diagnostics	 4.073e+00	 4.140e+00	 4.189e+00	 4.230e-02
     Densities	 3.123e-01	 3.208e-01	 3.302e-01	 6.542e-03
    Collisions	 1.271e+00	 1.291e+00	 1.304e+00	 1.241e-02
    Mov window	 3.137e-01	 3.202e-01	 3.305e-01	 6.252e-03
Sync Particles	 6.339e+00	 6.397e+00	 6.453e+00	 4.064e-02
   Sync Fields	 2.856e+00	 2.902e+00	 2.990e+00	 5.422e-02
Sync Densities	 2.886e+00	 3.022e+00	 3.183e+00	 1.075e-01
  Part Merging	 6.294e-01	 6.373e-01	 6.445e-01	 6.032e-03
Part Injection	 6.339e-01	 6.447e-01	 6.533e-01	 6.951e-03


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.909e+00	 1.929e+00	 1.952e+00	 1.525e-02
       Maxwell	 2.381e+00	 2.397e+00	 2.422e+00	 1.506e-02
    Maxwell_BC	 1.932e+00	 1.958e+00	 1.998e+00	 2.528e-02
   Diagnostics	 6.125e+00	 6.211e+00	 6.253e+00	 5.063e-02
     Densities	 4.852e-01	 4.862e-01	 4.872e-01	 7.031e-04
    Collisions	 1.902e+00	 1.933e+00	 1.948e+00	 1.861e-02
    Mov window	 4.744e-01	 4.812e-01	 4.906e-01	 6.439e-03
Sync Particles	 9.509e+00	 9.588e+00	 9.624e+00	 4.658e-02
   Sync Fields	 4.261e+00	 4.355e+00	 4.488e+00	 8.398e-02
Sync Densities	 4.466e+00	 4.555e+00	 4.747e+00	 1.121e-01
  Part Merging	 9.508e-01	 9.564e-01	 9.613e-01	 3.813e-03
Part Injection	 9.530e-01	 9.624e-01	 9.761e-01	 8.433e-03


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.535e+00	 2.563e+00	 2.582e+00	 2.017e-02
       Maxwell	 3.164e+00	 3.186e+00	 3.217e+00	 1.921e-02
