##################################################################
# Time: Mon Jun  8 21:41:59 2026
# System: Linux (6.8.0-111-generic), aarch64
# Version: #111-Ubuntu SMP PREEMPT_DYNAMIC Sat Apr 11 22:59:23 UTC 2026
# Total memory on nodes: min=54.81GB, max=54.81GB
##################################################################

MemInit  : Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8751: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8752: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8753: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8754: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8755: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8756: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8757: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8758: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8759: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8760: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8761: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8762: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8763: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8764: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8765: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8766: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8767: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8768: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8769: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8770: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8771: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8772: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8773: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8774: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8775: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8776: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8777: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8778: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8779: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8780: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8781: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8782: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8783: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8784: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8785: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8786: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8787: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8788: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8789: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8790: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8791: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8792: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8793: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8794: Max = 4.866318, Min = 4.866318, Average = 4.866318 
Step 8795: Max = 4.866318, Min = 4.866318, Average = 4.866318 
