

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.203e-01	 4.302e-01	 4.362e-01	 6.099e-03
       Maxwell	 5.237e-01	 5.278e-01	 5.371e-01	 5.408e-03
    Maxwell_BC	 4.135e-01	 4.282e-01	 4.374e-01	 9.180e-03
   Diagnostics	 1.364e+00	 1.383e+00	 1.399e+00	 1.278e-02
     Densities	 1.010e-01	 1.079e-01	 1.171e-01	 6.683e-03
    Collisions	 4.119e-01	 4.246e-01	 4.376e-01	 9.811e-03
    Mov window	 1.018e-01	 1.073e-01	 1.188e-01	 6.733e-03
Sync Particles	 2.095e+00	 2.133e+00	 2.159e+00	 2.695e-02
   Sync Fields	 8.027e-01	 8.450e-01	 8.767e-01	 2.671e-02
Sync Densities	 8.861e-01	 9.133e-01	 9.792e-01	 3.838e-02
  Part Merging	 2.074e-01	 2.124e-01	 2.191e-01	 4.937e-03
Part Injection	 2.030e-01	 2.101e-01	 2.153e-01	 4.650e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.129e+00	 1.140e+00	 1.150e+00	 7.398e-03
       Maxwell	 1.405e+00	 1.417e+00	 1.437e+00	 1.305e-02
    Maxwell_BC	 1.150e+00	 1.164e+00	 1.186e+00	 1.457e-02
   Diagnostics	 3.659e+00	 3.678e+00	 3.709e+00	 1.966e-02
     Densities	 2.805e-01	 2.874e-01	 3.012e-01	 8.218e-03
    Collisions	 1.122e+00	 1.134e+00	 1.141e+00	 7.490e-03
    Mov window	 2.777e-01	 2.864e-01	 2.966e-01	 7.623e-03
Sync Particles	 5.648e+00	 5.676e+00	 5.706e+00	 2.090e-02
   Sync Fields	 2.256e+00	 2.352e+00	 2.439e+00	 8.462e-02
Sync Densities	 2.450e+00	 2.469e+00	 2.503e+00	 2.072e-02
  Part Merging	 5.522e-01	 5.634e-01	 5.698e-01	 6.953e-03
Part Injection	 5.602e-01	 5.704e-01	 5.760e-01	 6.101e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.129e+00	 1.140e+00	 1.150e+00	 7.398e-03
       Maxwell	 1.405e+00	 1.417e+00	 1.437e+00	 1.305e-02
    Maxwell_BC	 1.150e+00	 1.164e+00	 1.186e+00	 1.457e-02
   Diagnostics	 3.687e+00	 3.704e+00	 3.737e+00	 1.982e-02
     Densities	 2.824e-01	 2.893e-01	 3.032e-01	 8.262e-03
    Collisions	 1.130e+00	 1.142e+00	 1.149e+00	 7.287e-03
    Mov window	 2.787e-01	 2.880e-01	 2.987e-01	 7.931e-03
Sync Particles	 5.648e+00	 5.676e+00	 5.706e+00	 2.090e-02
   Sync Fields	 2.256e+00	 2.352e+00	 2.439e+00	 8.462e-02
Sync Densities	 2.450e+00	 2.469e+00	 2.503e+00	 2.072e-02
  Part Merging	 5.522e-01	 5.634e-01	 5.698e-01	 6.953e-03
Part Injection	 5.602e-01	 5.704e-01	 5.760e-01	 6.101e-03
