

--- Timestep = 0 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.125e-01	 7.203e-01	 7.305e-01	 7.907e-03
       Maxwell	 8.734e-01	 8.898e-01	 9.041e-01	 1.123e-02
    Maxwell_BC	 7.102e-01	 7.242e-01	 7.433e-01	 1.260e-02
   Diagnostics	 2.286e+00	 2.304e+00	 2.330e+00	 1.634e-02
     Densities	 1.759e-01	 1.835e-01	 1.874e-01	 4.597e-03
    Collisions	 6.983e-01	 7.087e-01	 7.128e-01	 5.994e-03
    Mov window	 1.705e-01	 1.771e-01	 1.820e-01	 4.177e-03
Sync Particles	 3.479e+00	 3.519e+00	 3.541e+00	 2.449e-02
   Sync Fields	 1.464e+00	 1.502e+00	 1.567e+00	 4.098e-02
Sync Densities	 1.545e+00	 1.577e+00	 1.659e+00	 4.722e-02
  Part Merging	 3.515e-01	 3.597e-01	 3.658e-01	 5.188e-03
Part Injection	 3.483e-01	 3.564e-01	 3.660e-01	 6.465e-03


--- Timestep = 1 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 1.416e+00	 1.431e+00	 1.445e+00	 1.159e-02
       Maxwell	 1.752e+00	 1.780e+00	 1.793e+00	 1.611e-02
    Maxwell_BC	 1.412e+00	 1.450e+00	 1.479e+00	 2.468e-02
   Diagnostics	 4.575e+00	 4.612e+00	 4.662e+00	 3.585e-02
     Densities	 3.540e-01	 3.705e-01	 3.919e-01	 1.363e-02
    Collisions	 1.397e+00	 1.417e+00	 1.436e+00	 1.452e-02
    Mov window	 3.470e-01	 3.523e-01	 3.643e-01	 7.015e-03
Sync Particles	 7.025e+00	 7.093e+00	 7.182e+00	 6.097e-02
   Sync Fields	 2.892e+00	 3.012e+00	 3.157e+00	 9.774e-02
Sync Densities	 3.067e+00	 3.184e+00	 3.304e+00	 8.939e-02
  Part Merging	 7.070e-01	 7.146e-01	 7.236e-01	 6.020e-03
Part Injection	 7.127e-01	 7.217e-01	 7.409e-01	 1.127e-02


--- Timestep = 2 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.131e+00	 2.151e+00	 2.171e+00	 1.746e-02
       Maxwell	 2.639e+00	 2.671e+00	 2.685e+00	 1.878e-02
    Maxwell_BC	 2.153e+00	 2.185e+00	 2.213e+00	 2.123e-02
   Diagnostics	 6.871e+00	 6.922e+00	 6.977e+00	 4.069e-02
     Densities	 5.425e-01	 5.526e-01	 5.669e-01	 9.489e-03
    Collisions	 2.111e+00	 2.130e+00	 2.148e+00	 1.384e-02
    Mov window	 5.200e-01	 5.308e-01	 5.357e-01	 6.359e-03
Sync Particles	 1.060e+01	 1.067e+01	 1.074e+01	 6.125e-02
   Sync Fields	 4.343e+00	 4.469e+00	 4.600e+00	 9.609e-02
Sync Densities	 4.616e+00	 4.731e+00	 4.857e+00	 9.225e-02
  Part Merging	 1.062e+00	 1.072e+00	 1.085e+00	 9.584e-03
Part Injection	 1.062e+00	 1.079e+00	 1.099e+00	 1.574e-02


--- Timestep = 3 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 2.861e+00	 2.878e+00	 2.901e+00	 1.627e-02
       Maxwell	 3.540e+00	 3.561e+00	 3.584e+00	 1.770e-02
    Maxwell_BC	 2.891e+00	 2.925e+00	 2.960e+00	 2.482e-02
   Diagnostics	 9.198e+00	 9.247e+00	 9.305e+00	 4.271e-02
     Densities	 7.210e-01	 7.320e-01	 7.503e-01	 1.137e-02
    Collisions	 2.825e+00	 2.849e+00	 2.869e+00	 1.935e-02
    Mov window	 7.034e-01	 7.081e-01	 7.173e-01	 5.582e-03
Sync Particles	 1.417e+01	 1.425e+01	 1.435e+01	 7.183e-02
   Sync Fields	 5.805e+00	 5.995e+00	 6.188e+00	 1.404e-01
Sync Densities	 6.233e+00	 6.343e+00	 6.480e+00	 1.005e-01
  Part Merging	 1.415e+00	 1.427e+00	 1.433e+00	 6.694e-03
Part Injection	 1.428e+00	 1.442e+00	 1.456e+00	 1.123e-02


--- Timestep = 4 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 3.572e+00	 3.596e+00	 3.616e+00	 1.710e-02
       Maxwell	 4.430e+00	 4.444e+00	 4.461e+00	 1.385e-02
    Maxwell_BC	 3.607e+00	 3.662e+00	 3.710e+00	 3.684e-02
   Diagnostics	 1.151e+01	 1.155e+01	 1.160e+01	 4.095e-02
     Densities	 9.095e-01	 9.168e-01	 9.233e-01	 6.053e-03
    Collisions	 3.538e+00	 3.559e+00	 3.579e+00	 1.923e-02
    Mov window	 8.765e-01	 8.913e-01	 9.011e-01	 9.313e-03
Sync Particles	 1.772e+01	 1.780e+01	 1.787e+01	 6.880e-02
   Sync Fields	 7.311e+00	 7.465e+00	 7.691e+00	 1.536e-01
Sync Densities	 7.763e+00	 7.919e+00	 8.074e+00	 1.231e-01
  Part Merging	 1.784e+00	 1.787e+00	 1.789e+00	 2.188e-03
Part Injection	 1.773e+00	 1.795e+00	 1.809e+00	 1.385e-02


--- Timestep = 5 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 4.293e+00	 4.317e+00	 4.341e+00	 2.166e-02
       Maxwell	 5.308e+00	 5.327e+00	 5.344e+00	 1.394e-02
    Maxwell_BC	 4.344e+00	 4.391e+00	 4.432e+00	 3.134e-02
   Diagnostics	 1.379e+01	 1.385e+01	 1.389e+01	 4.114e-02
     Densities	 1.088e+00	 1.102e+00	 1.112e+00	 8.650e-03
    Collisions	 4.238e+00	 4.262e+00	 4.285e+00	 1.930e-02
    Mov window	 1.058e+00	 1.066e+00	 1.074e+00	 5.966e-03
Sync Particles	 2.127e+01	 2.136e+01	 2.142e+01	 5.663e-02
   Sync Fields	 8.840e+00	 8.968e+00	 9.166e+00	 1.272e-01
Sync Densities	 9.386e+00	 9.535e+00	 9.749e+00	 1.333e-01
  Part Merging	 2.132e+00	 2.143e+00	 2.152e+00	 7.057e-03
Part Injection	 2.125e+00	 2.155e+00	 2.178e+00	 1.931e-02


--- Timestep = 6 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.026e+00	 5.044e+00	 5.057e+00	 1.306e-02
       Maxwell	 6.196e+00	 6.219e+00	 6.246e+00	 1.901e-02
    Maxwell_BC	 5.088e+00	 5.127e+00	 5.192e+00	 3.967e-02
   Diagnostics	 1.612e+01	 1.618e+01	 1.623e+01	 5.064e-02
     Densities	 1.269e+00	 1.283e+00	 1.308e+00	 1.532e-02
    Collisions	 4.953e+00	 4.983e+00	 5.015e+00	 2.739e-02
    Mov window	 1.239e+00	 1.248e+00	 1.257e+00	 6.134e-03
Sync Particles	 2.487e+01	 2.494e+01	 2.503e+01	 7.090e-02
   Sync Fields	 1.033e+01	 1.051e+01	 1.070e+01	 1.607e-01
Sync Densities	 1.096e+01	 1.114e+01	 1.131e+01	 1.353e-01
  Part Merging	 2.489e+00	 2.500e+00	 2.520e+00	 1.209e-02
Part Injection	 2.480e+00	 2.510e+00	 2.545e+00	 2.295e-02


--- Timestep = 7 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 5.745e+00	 5.770e+00	 5.787e+00	 1.531e-02
       Maxwell	 7.095e+00	 7.125e+00	 7.155e+00	 2.166e-02
    Maxwell_BC	 5.817e+00	 5.860e+00	 5.930e+00	 4.273e-02
   Diagnostics	 1.844e+01	 1.853e+01	 1.860e+01	 5.804e-02
     Densities	 1.451e+00	 1.467e+00	 1.494e+00	 1.740e-02
    Collisions	 5.666e+00	 5.704e+00	 5.737e+00	 2.870e-02
    Mov window	 1.419e+00	 1.429e+00	 1.438e+00	 8.576e-03
Sync Particles	 2.845e+01	 2.856e+01	 2.864e+01	 7.957e-02
   Sync Fields	 1.185e+01	 1.206e+01	 1.232e+01	 1.993e-01
Sync Densities	 1.257e+01	 1.276e+01	 1.293e+01	 1.364e-01
  Part Merging	 2.840e+00	 2.857e+00	 2.882e+00	 1.609e-02
Part Injection	 2.845e+00	 2.874e+00	 2.906e+00	 2.168e-02


--- Timestep = 8 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 6.469e+00	 6.492e+00	 6.509e+00	 1.688e-02
       Maxwell	 7.985e+00	 8.014e+00	 8.054e+00	 2.833e-02
    Maxwell_BC	 6.545e+00	 6.590e+00	 6.649e+00	 3.747e-02
   Diagnostics	 2.080e+01	 2.086e+01	 2.094e+01	 5.909e-02
     Densities	 1.629e+00	 1.658e+00	 1.691e+00	 2.504e-02
    Collisions	 6.370e+00	 6.417e+00	 6.464e+00	 4.324e-02
    Mov window	 1.595e+00	 1.608e+00	 1.623e+00	 1.111e-02
Sync Particles	 3.208e+01	 3.215e+01	 3.223e+01	 6.883e-02
   Sync Fields	 1.336e+01	 1.359e+01	 1.382e+01	 2.068e-01
Sync Densities	 1.418e+01	 1.439e+01	 1.455e+01	 1.498e-01
  Part Merging	 3.194e+00	 3.209e+00	 3.237e+00	 1.691e-02
Part Injection	 3.207e+00	 3.237e+00	 3.272e+00	 2.340e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.188e+00	 7.212e+00	 7.248e+00	 2.437e-02
       Maxwell	 8.867e+00	 8.912e+00	 8.952e+00	 3.551e-02
    Maxwell_BC	 7.259e+00	 7.317e+00	 7.372e+00	 4.035e-02
   Diagnostics	 2.310e+01	 2.319e+01	 2.328e+01	 7.735e-02
     Densities	 1.809e+00	 1.838e+00	 1.866e+00	 2.182e-02
    Collisions	 7.070e+00	 7.126e+00	 7.180e+00	 5.330e-02
    Mov window	 1.779e+00	 1.792e+00	 1.805e+00	 9.153e-03
Sync Particles	 3.566e+01	 3.575e+01	 3.584e+01	 8.200e-02
   Sync Fields	 1.485e+01	 1.514e+01	 1.545e+01	 2.642e-01
Sync Densities	 1.573e+01	 1.599e+01	 1.622e+01	 1.995e-01
  Part Merging	 3.547e+00	 3.564e+00	 3.590e+00	 1.624e-02
Part Injection	 3.565e+00	 3.595e+00	 3.637e+00	 2.626e-02


--- Timestep = 9 x Main.print_every =  ---
       Time 	 Min   		 Avg  		 Max   		 SD 
     Particles	 7.188e+00	 7.212e+00	 7.248e+00	 2.437e-02
       Maxwell	 8.867e+00	 8.912e+00	 8.952e+00	 3.551e-02
    Maxwell_BC	 7.259e+00	 7.317e+00	 7.372e+00	 4.035e-02
   Diagnostics	 2.312e+01	 2.321e+01	 2.330e+01	 7.609e-02
     Densities	 1.810e+00	 1.839e+00	 1.869e+00	 2.225e-02
    Collisions	 7.078e+00	 7.135e+00	 7.187e+00	 5.259e-02
    Mov window	 1.781e+00	 1.794e+00	 1.807e+00	 9.449e-03
Sync Particles	 3.566e+01	 3.575e+01	 3.584e+01	 8.200e-02
   Sync Fields	 1.485e+01	 1.514e+01	 1.545e+01	 2.642e-01
Sync Densities	 1.573e+01	 1.599e+01	 1.622e+01	 1.995e-01
  Part Merging	 3.547e+00	 3.564e+00	 3.590e+00	 1.624e-02
Part Injection	 3.565e+00	 3.595e+00	 3.637e+00	 2.626e-02
